Subject,Treatment,Sex,Gonad,Estrus,SniffAnoDur,SniffHeadDur,DigDur,ActiveHDur,InactiveDur,GroomDur,AvoidDur,SubDur,DefenseDur,OpenAggDur,RitAggDur,ActiveVDur,ApproachDur,StereoDur,DomDur,SniffBodyDur,InactiveTogetherDur,FollowDur,StretchEv,SniffAnoEv,SniffHeadEv,DigEv,ActiveHEv,InactiveEv,GroomEv,AvoidEv,AttackDelEv,SubEv,AttackRecEv,DefenseEv,OpenAggEv,RitAggEv,ActiveVEv,ApproachEv,StereoEv,DomEv,SniffBodyEv,InactiveTogetherEv,FollowEv,TotalActivityOccur,TotalActivityDuration,TotalSocialOccur,TotalSocialDuration,AgonisticDeliveredOccur,AgonisticDeliveredDuration,AgonisticReceivedOccur,AgonisticReceivedDuration,AgonisticTotalOccur,AgonisticTotalDuration,DominanceScoreOccur,DominanceScoreDuration,SocialInvestigationOccur,SocialInvestigationDuration,NonSocialOccur,NonSocialDuration,NonSocialLocomotorOccur,NonSocialLocomotorDuration,InactiveNonSocialOccur,InactiveNonSocialDuration,TransAgonisticTotalDuration,TransAgonisticTotalOccur,TransAgonisticDeliveredDuration,TransAgonisticDeliveredOccur,TransAgonisticReceivedDuration,TransAgonisticReceivedOccur,TransNonSocialDuration,TransNonSocialOccur,TransInactiveNonSocialDuration,TransInactiveNonSocialOccur,TransFollowDur,TransFollowEv,TransDomEv,TransAttackDel,TransAttackRec,TransAvoidDur,TransAvoidEv,TransSubDur,TransSubEv,TransRitAggDur,TransRitAggEv,TransDefenseDur,TransDefenseEv,TransInactiveTogetherDur,TransInactiveTogetherEv,TransSniffHeadEv,TransStretchEv,TransDigDur,TransDigEv,TransInactiveDur,TransInactiveEv
E22-13F,T,F,SHAM,P,80439,134843,0,180300,14271,337298,0,88799,0,0,0,29841,0,0,9660,342437,580394,1718,0,55,47,0,134,5,59,0,0,19,0,0,0,0,13,0,0,2,123,57,2,395,868037,305,1238290,4,11378,19,88799,23,100177,-15,-77421,225,557719,211,561710,147,210141,64,351569,11.51470388,3.17805383,9.33952483,1.609437912,11.39414193,2.995732274,13.23874276,5.356586275,12.77016412,4.17438727,7.449498005,1.098612289,1.098612289,0,0,0,0,11.39414193,2.995732274,0,0,0,0,13.27146419,4.060443011,3.871201011,0,0,0,9.566054855,1.791759469
 E24-10F,T,F,SHAM,P,47313,244200,0,61742,8629,416583,0,171618,0,0,0,62615,0,0,60271,280260,439010,7759,0,21,53,0,58,4,45,0,0,17,0,0,0,0,15,0,0,8,82,52,4,258,935778,237,1250431,12,68030,17,171618,29,239648,-5,-103588,156,571773,122,549569,73,124357,49,425212,12.38693063,3.401197382,11.12771876,2.564949357,12.05303218,2.890371758,13.21689143,4.812184355,12.9603455,3.912023005,8.956737613,1.609437912,2.197224577,0,0,0,0,12.05303218,2.890371758,0,0,0,0,12.99227975,3.970291914,3.988984047,0,0,0,9.062999784,1.609437912
 E28-01F,C,F,SHAM,E,132024,302787,780,70645,0,77914,0,178271,0,0,1050,29441,0,0,461189,453842,89261,2796,0,77,86,1,72,0,19,0,0,14,0,0,0,1,19,0,0,56,174,21,4,504,1632825,433,1621220,60,463985,14,178271,74,642256,46,285714,337,888653,111,178780,92,100866,19,77914,13.37274381,4.317488114,13.04760966,4.110873864,12.09106575,2.708050201,12.09391687,4.718498871,11.26337377,2.995732274,7.936302693,1.609437912,4.043051268,0,0,0,0,12.09106575,2.708050201,6.957497371,0.693147181,0,0,11.39933114,3.091042453,4.465908119,0,6.66057515,0.693147181,0,0
 E29-01F,C,F,SHAM,P,179230,234298,0,138143,0,250204,0,115192,0,0,1657,263375,0,0,40257,362475,197422,17747,0,72,72,0,149,0,42,0,0,17,0,0,0,1,87,0,0,6,157,21,18,579,1352374,364,1148278,24,58004,17,115192,41,173196,7,-57188,301,776003,278,651722,236,401518,42,250204,12.06218495,3.737669618,10.96828449,3.218875825,11.65436426,2.890371758,13.3873749,5.631211782,12.43003586,3.761200116,9.784028112,2.944438979,1.945910149,0,0,0,0,11.65436426,2.890371758,7.413367336,0.693147181,0,0,12.19310391,3.091042453,4.290459441,0,0,0,0,0
 E30-06F,C,F,SHAM,D,79967,206959,0,180589,0,351580,0,26941,0,0,0,186358,0,0,167072,367778,228851,3905,0,57,79,0,190,0,89,0,0,11,0,0,0,0,71,0,0,36,146,54,3,593,1219569,386,1081473,39,170977,11,26941,50,197918,28,144036,282,654704,350,718527,261,366947,89,351580,12.19561314,3.931825633,12.04929017,3.688879454,10.20144169,2.48490665,13.48495995,5.860786223,12.7701954,4.49980967,8.270269111,1.386294361,3.610917913,0,0,0,0,10.20144169,2.48490665,0,0,0,0,12.34083079,4.007333185,4.382026635,0,0,0,0,0
 E31-03F,C,F,SHAM,P,115797,106724,0,381622,129368,33715,0,118065,0,0,0,80291,0,0,237586,488543,107484,0,0,25,19,0,74,10,6,0,0,11,0,0,0,0,16,0,0,24,64,1,0,233,1528628,144,1174199,24,237586,11,118065,35,355651,13,119521,108,711064,106,624996,90,461913,16,163083,12.781708,3.583518938,12.37828915,3.218875825,11.67899907,2.48490665,13.34550213,4.672828834,12.00202068,2.833213344,0,0,3.218875825,0,0,0,0,11.67899907,2.48490665,0,0,0,0,11.58510658,0.693147181,2.995732274,0,0,0,11.77042407,2.397895273
 E31-03F,C,F,SHAM,P,206871,197959,0,134968,0,34138,69,268447,0,0,601,44096,0,0,135160,580281,178797,18613,0,128,99,0,160,0,21,1,0,41,0,0,0,1,24,0,0,29,272,42,21,776,1587065,634,1586798,50,153773,42,268516,92,422289,8,-114743,499,985111,205,213202,184,179064,21,34138,12.95344756,4.532599493,11.94323927,3.931825633,12.50066951,3.761200116,12.27000004,5.327876169,10.4381957,3.091042453,9.831669265,3.091042453,3.401197382,0,0,4.248495242,0.693147181,12.50041251,3.737669618,6.400257445,0.693147181,0,0,12.09401196,3.761200116,4.605170186,0,0,0,0,0
 E32-06F,C,F,SHAM,D,128529,151745,0,189152,0,287319,2318,60203,0,0,0,315102,0,512,100411,502430,50374,11905,0,79,81,0,201,0,51,2,0,14,0,0,0,0,85,0,1,16,200,16,14,693,1462307,422,1007915,30,112316,16,62521,46,174837,14,49795,360,782704,338,792085,286,504254,51,287319,12.07161511,3.850147602,11.62908051,3.433987204,11.04327377,2.833213344,13.58242525,5.826000107,12.56835186,3.951243719,9.384797754,2.708050201,2.833213344,0,0,7.748891337,1.098612289,11.00549407,2.708050201,0,0,0,0,10.8272503,2.833213344,4.406719247,0,0,0,0,0
 E33-01F,C,F,SHAM,P,30054,316369,0,165646,0,165623,0,66984,0,0,0,122272,0,0,316284,362998,251981,1789,0,26,86,0,144,0,47,0,0,9,0,0,0,0,49,0,0,31,125,40,2,472,1382396,319,1346459,33,318073,9,66984,42,385057,24,251089,237,709421,240,453541,193,287918,47,165623,12.86114925,3.761200116,12.67003934,3.526360525,11.11222399,2.302585093,13.02484316,5.484796933,12.01747544,3.871201011,7.489970899,1.098612289,3.465735903,0,0,0,0,11.11222399,2.302585093,0,0,0,0,12.43711294,3.713572067,4.465908119,0,0,0,0,0
 E33-02F,C,F,SHAM,P,166375,101179,0,246102,1540,313019,0,136785,0,0,0,187040,0,1758,183472,320753,116829,25148,0,94,56,0,219,2,80,0,0,12,0,0,0,0,79,0,1,47,173,24,29,710,1368612,435,1050541,76,208620,12,136785,88,345405,64,71835,323,588307,381,749459,298,433142,82,314559,12.75247582,4.48863637,12.24827449,4.343805422,11.82617294,2.564949357,13.52710823,5.945420609,12.65893012,4.418840608,10.13257341,3.401197382,3.871201011,0,0,0,0,11.82617294,2.564949357,0,0,0,0,11.66847517,3.218875825,4.043051268,0,0,0,7.340186835,1.098612289
 E34-02F,C,F,SHAM,D,183611,340222,504,166255,1116,243052,0,16561,0,0,0,77101,0,0,182791,455591,107608,25588,0,96,96,1,161,1,43,0,0,10,0,0,0,0,31,0,0,29,201,16,20,645,1448224,468,1311972,49,208379,10,16561,59,224940,39,191818,393,979424,237,488028,193,243860,44,244168,12.32359342,4.094344562,12.24711861,3.912023005,9.714866194,2.397895273,13.09813011,5.472270674,12.40561589,3.80666249,10.14991785,3.044522438,3.401197382,0,0,0,0,9.714866194,2.397895273,0,0,0,0,11.58625957,2.833213344,4.574710979,0,6.224558429,0.693147181,7.018401799,0.693147181
 E36-02F,T,F,SHAM,D,47820,505403,577,136548,865,104424,0,17963,0,0,1525,227618,0,0,406934,331812,13847,4664,0,43,150,1,154,1,40,0,1,7,0,0,0,1,67,0,0,66,198,8,7,695,1680864,481,1329968,74,411598,7,17963,81,429561,67,393635,391,885035,263,470032,222,364743,41,105289,12.97052136,4.406719247,12.92780485,4.317488114,9.796125034,2.079441542,13.06055818,5.575949103,11.56447373,3.737669618,8.447843113,2.079441542,4.204692619,0.693147181,0,0,0,9.796125034,2.079441542,7.330405212,0.693147181,0,0,9.535896097,2.197224577,5.017279837,0,6.359573869,0.693147181,6.763884909,0.693147181
 E38-03F,T,F,SHAM,P,100309,310199,0,153059,435,319540,0,22680,0,0,0,230510,0,0,303665,279326,68274,12003,0,74,119,0,167,1,45,0,0,7,0,0,0,0,79,0,0,77,164,10,18,705,1411751,469,1096456,95,315668,7,22680,102,338348,88,292988,357,689834,292,703544,246,383569,46,319975,12.73183319,4.634728988,12.66244948,4.564348191,10.02928285,2.079441542,13.46388712,5.680172609,12.67600127,3.850147602,9.392995207,2.944438979,4.356708827,0,0,0,0,10.02928285,2.079441542,0,0,0,0,11.13129895,2.397895273,4.787491743,0,0,0,6.077642243,0.693147181
 E40-02F,T,F,SHAM,E,138522,288046,0,139469,0,190867,0,269991,0,0,0,73984,0,0,18060,441871,225845,13345,0,98,142,0,165,0,50,0,0,41,0,0,0,0,23,0,0,7,243,34,17,736,1383288,582,1395680,24,31405,41,269991,65,301396,-17,-238586,483,868439,238,404320,188,213453,50,190867,12.61618361,4.189654742,10.35475424,3.218875825,12.50614761,3.737669618,12.9099644,5.476463552,12.15933737,3.931825633,9.498971993,2.890371758,2.079441542,0,0,0,0,12.50614761,3.737669618,0,0,0,0,12.32760863,3.555348061,4.96284463,0,0,0,0,0
 E40-03F,T,F,SHAM,D,97701,461038,0,101454,0,93886,0,112200,0,0,0,53280,963,24,147603,561773,163626,6452,0,66,160,0,131,0,19,0,1,44,0,0,0,0,26,1,1,50,253,43,11,744,1542488,629,1551356,62,154055,44,112200,106,266255,18,41855,480,1121475,177,248644,157,154734,19,93886,12.49221353,4.672828834,11.94507145,4.143134726,11.62804718,3.80666249,12.42378146,5.18178355,11.44984721,2.995732274,8.772300418,2.48490665,3.931825633,0.693147181,0,0,0,11.62804718,3.80666249,0,0,0,0,12.00534473,3.784189634,5.081404365,0,0,0,0,0
 E4-03,C,F,SHAM,E,65458,55613,0,125968,0,211763,0,727436,0,0,0,196039,0,0,45524,295571,74805,1823,0,40,20,0,104,0,26,0,0,32,0,0,0,0,71,0,0,9,100,14,3,379,1513432,218,1266230,12,47347,32,727436,44,774783,-20,-680089,160,416642,201,533770,175,322007,26,211763,13.56033956,3.80666249,10.76527986,2.564949357,13.49728268,3.496507561,13.18772219,5.308267697,12.26322773,3.295836866,7.508787171,1.386294361,2.302585093,0,0,0,0,13.49728268,3.496507561,0,0,0,0,11.22265337,2.708050201,3.044522438,0,0,0,0,0
 E42-01F,T,F,SHAM,P,287123,79963,0,49581,8410,159662,0,215699,0,0,0,16317,0,0,171646,382967,409656,18976,0,126,50,0,65,4,16,0,0,26,0,0,0,0,9,0,0,26,158,57,32,492,1222272,475,1566030,58,190622,26,215699,84,406321,32,-25077,334,750053,94,233970,74,65898,20,168072,12.91490123,4.442651256,12.15805293,4.077537444,12.28164383,3.295836866,12.36295246,4.553876892,12.03215369,3.044522438,9.850982999,3.496507561,3.295836866,0,0,0,0,12.28164383,3.295836866,0,0,0,0,12.9230755,4.060443011,3.931825633,0,0,0,9.037295652,1.609437912
 E5-05,T,F,SHAM,P,236478,165712,37527,194915,9762,453935,0,123186,795,0,0,147497,0,0,44423,344990,38138,2642,0,78,55,7,134,2,47,0,0,17,0,1,0,0,45,0,0,7,121,4,4,469,1298165,287,956364,11,47065,18,123981,29,171046,-7,-76916,254,747180,235,843636,186,379939,49,463697,12.04969365,3.401197382,10.75930615,2.48490665,11.72789167,2.944438979,13.64547759,5.463831805,13.04698876,3.912023005,7.879669915,1.609437912,2.079441542,0,0,0,0,11.72145881,2.890371758,0,0,6.679599186,0.693147181,10.54899266,1.609437912,4.025351691,0,10.5328426,2.079441542,9.186355009,1.098612289
 E9-05F,C,F,SHAM,P,271524,338268,0,92109,2244,131622,0,67092,0,0,0,10868,0,0,204850,542455,133146,5822,0,114,77,0,99,1,29,0,0,26,0,0,0,0,3,0,0,25,178,16,7,529,1532988,443,1563157,32,210672,26,67092,58,277764,6,143580,369,1152247,132,236843,102,102977,30,133866,12.53453071,4.077537444,12.25806245,3.496507561,11.113835,3.295836866,12.37515698,4.890349128,11.80460205,3.433987204,8.669570872,2.079441542,3.258096538,0,0,0,0,11.113835,3.295836866,0,0,0,0,11.79920906,2.833213344,4.356708827,0,0,0,7.7164608,0.693147181
