"","Subject","Treatment","Sex","Gonad","Scorer","SniffAnoDur","SniffHeadDur","DigDur","ActiveHDur","InactiveDur","GroomDur","AvoidDur","SubDur","DefenseDur","OpenAggDur","RitAggDur","ActiveVDur","ApproachDur","StereoDur","DomDur","SniffBodyDur","InactiveTogetherDur","FollowDur","StretchEv","SniffAnoEv","SniffHeadEv","DigEv","ActiveHEv","InactiveEv","GroomEv","AvoidEv","AttackDelEv","SubEv","AttackRecEv","DefenseEv","OpenAggEv","RitAggEv","ActiveVEv","ApproachEv","StereoEv","DomEv","SniffBodyEv","InactiveTogetherEv","FollowEv","TotalActivityOccur","TotalActivityDuration","TotalSocialOccur","TotalSocialDuration","AgonisticDeliveredOccur","AgonisticDeliveredDuration","AgonisticReceivedOccur","AgonisticReceivedDuration","AgonisticTotalOccur","AgonisticTotalDuration","DominanceScoreOccur","DominanceScoreDuration","SocialInvestigationOccur","SocialInvestigationDuration","NonSocialOccur","NonSocialDuration","NonSocialLocomotorOccur","NonSocialLocomotorDuration","InactiveNonSocialOccur","InactiveNonSocialDuration"
"280"," E22-07M","T","M","SHAM"," Colin",139533,158717,0,166725,0,193220,0,9938,0,934,1368,269054,0,0,133628,339536,380392,6955,0,65,53,0,174,0,30,0,12,4,1,0,1,1,86,0,0,42,161,45,6,606,1226388,391,1171001,60,140583,5,9938,65,150521,55,130645,279,637786,290,628999,260,435779,30,193220
"281","E22-13F","T","F","SHAM"," Colin",80439,134843,0,180300,14271,337298,0,88799,0,0,0,29841,0,0,9660,342437,580394,1718,0,55,47,0,134,5,59,0,0,19,0,0,0,0,13,0,0,2,123,57,2,395,868037,305,1238290,4,11378,19,88799,23,100177,-15,-77421,225,557719,211,561710,147,210141,64,351569
"282"," E23-03M","T","M","SHAM"," Colin",106936,216223,0,222140,0,208167,0,0,0,0,0,328114,0,0,378781,312191,22676,4772,0,53,92,0,213,0,53,0,1,0,0,0,0,0,107,0,0,64,166,4,6,702,1569157,386,1041579,71,383553,0,0,71,383553,71,383553,311,635350,373,758421,320,550254,53,208167
"283"," E23-04M","T","M","GDX"," Colin",94258,221804,0,244077,201885,116634,0,57805,0,0,0,80398,0,0,168140,304742,302910,7347,0,41,65,0,156,48,41,0,0,24,0,0,0,0,28,0,0,16,127,46,5,462,1178571,324,1157006,21,175487,24,57805,45,233292,-3,117682,233,620804,273,642994,184,324475,89,318519
"284"," E23-05F","T","F","GDX"," Colin",364422,108077,0,212702,3247,164445,0,227185,0,0,0,195691,0,0,87634,363790,71254,1553,0,137,48,0,204,2,36,0,0,21,0,0,0,0,74,0,0,8,193,15,3,688,1561054,425,1223915,11,89187,21,227185,32,316372,-10,-137998,378,836289,316,576085,278,408393,38,167692
"285"," E23-07M","T","M","REP"," Colin",98367,138586,0,305762,0,90312,0,35314,0,0,57888,430730,0,0,237789,283879,114774,6599,0,43,67,0,238,0,30,0,26,4,0,0,0,11,150,0,0,24,142,14,1,706,1594914,332,973196,51,244388,4,35314,55,279702,47,209074,252,520832,418,826804,388,736492,30,90312
"286"," E24-06M","T","M","SHAM"," Colin",142915,459896,1608,134523,1673,228999,0,17847,0,2289,103112,177056,0,0,87444,405385,28527,8726,1,38,87,1,100,1,44,0,48,2,0,0,1,15,50,0,0,18,105,12,6,472,1540801,333,1256141,72,96170,2,17847,74,114017,70,78323,231,1008196,196,543859,151,313187,45,230672
"287"," E24-07M","T","M","GDX"," Colin",170954,246562,5568,142125,2094,309782,0,41873,648,0,3407,187694,0,0,0,499393,188036,1864,0,63,58,1,134,1,57,0,0,8,1,1,0,2,62,0,0,0,156,21,3,489,1300088,313,1152737,3,1864,10,42521,13,44385,-7,-40657,277,916909,255,647263,197,335387,58,311876
"288"," E24-10F","T","F","SHAM"," Colin",47313,244200,0,61742,8629,416583,0,171618,0,0,0,62615,0,0,60271,280260,439010,7759,0,21,53,0,58,4,45,0,0,17,0,0,0,0,15,0,0,8,82,52,4,258,935778,237,1250431,12,68030,17,171618,29,239648,-5,-103588,156,571773,122,549569,73,124357,49,425212
"289"," E24-13M","T","M","REP"," Colin",42873,263004,0,190157,761,402526,0,9909,0,0,0,565550,0,0,15554,186087,123579,0,0,22,81,0,164,1,56,0,0,3,1,0,0,0,128,0,0,7,88,22,0,494,1273134,224,641006,7,15554,4,9909,11,25463,3,5645,191,491964,349,1158994,292,755707,57,403287
"290"," E24-14F","T","F","GDX"," Colin",69409,65168,0,66657,3273,232083,0,355258,1174,0,1440,50598,0,0,272293,142933,528894,10820,0,33,29,0,55,2,38,0,0,19,0,1,0,1,13,0,0,18,74,20,6,249,1035750,201,1447389,24,283113,20,356432,44,639545,4,-73319,136,277510,108,352611,68,117255,40,235356
"291"," E24-15M","T","M","REP"," Colin",26186,251701,0,138853,17373,346340,0,31700,0,30853,97208,406050,0,0,13641,226740,200275,13080,0,16,60,0,121,6,61,0,46,6,1,0,8,20,104,0,0,5,88,21,4,479,1236012,275,891384,55,26721,7,31700,62,58421,48,-4979,164,504627,292,908616,225,544903,67,363713
"292"," E26-05M","C","M","GDX"," Colin",81001,167740,0,116638,34736,411919,2478,88801,0,0,12406,132550,0,0,27134,203107,521490,0,0,30,39,0,102,7,46,2,0,15,1,0,0,2,53,0,0,3,72,50,0,319,831855,214,1104157,3,27134,18,91279,21,118413,-15,-64145,141,451848,208,695843,155,249188,53,446655
"293"," E26-07M","C","M","REP"," Colin",122646,135234,4903,146988,9710,437568,0,67711,0,0,0,288908,0,0,196252,215170,174910,0,0,45,44,5,143,2,52,0,1,4,0,0,0,0,88,0,0,22,96,17,0,448,1177812,229,911923,23,196252,4,67711,27,263963,19,128541,185,473050,290,888077,236,440799,54,447278
"294"," E27-02M","C","M","SHAM"," Colin",61790,277486,1489,181324,0,142448,711,0,0,9209,121202,261507,2316,389243,22609,247601,42128,38937,1,25,74,1,156,0,42,1,30,0,1,0,5,29,88,1,43,9,126,10,13,603,1615424,325,823989,52,61546,2,711,54,62257,50,60835,227,589193,330,976011,245,444320,42,142448
"295"," E27-04M","C","M","REP"," Colin",46907,209661,0,204358,10768,401129,0,0,0,6307,0,499808,0,41198,84803,217364,77697,0,0,18,56,0,198,1,66,0,2,0,0,0,2,0,136,0,8,23,88,14,0,531,1310406,203,642739,25,84803,0,0,25,84803,25,84803,162,473932,409,1157261,334,704166,67,411897
"296"," E27-06M","C","M","GDX"," Colin",209306,253501,0,198651,8117,196180,0,60919,0,0,0,276228,0,1209,61292,431262,96968,6367,0,87,82,0,194,5,59,0,0,13,1,0,0,0,91,0,1,13,185,18,6,673,1498735,405,1119615,19,67659,14,60919,33,128578,5,6740,354,894069,350,680385,285,474879,64,204297
"297"," E27-08F","C","F","GDX"," Colin",164263,202932,0,132113,11810,322329,0,30542,0,0,0,235631,0,0,76943,396824,220530,6083,0,64,65,0,132,6,69,0,0,7,0,0,0,0,65,0,0,13,133,20,9,488,1245331,311,1098117,22,83026,7,30542,29,113568,15,52484,262,764019,272,701883,197,367744,75,334139
"298"," E27-09M","C","M","SHAM"," Colin",137468,123677,0,211101,2462,208122,0,1409,0,0,0,221076,0,0,266268,434853,179196,14368,0,59,63,0,162,2,76,0,10,1,0,0,0,0,70,0,0,42,151,32,11,569,1410220,369,1157239,63,280636,1,1409,64,282045,62,279227,273,695998,310,642761,232,432177,78,210584
"299"," E28-02F","C","F","GDX"," anthony",16715,273643,0,294405,56487,355387,0,168675,0,0,0,113857,0,0,131964,387251,0,0,0,6,24,0,63,6,14,0,0,12,0,0,0,0,27,0,0,11,52,0,0,195,1386510,105,978248,11,131964,12,168675,23,300639,-1,-36711,82,677609,110,820136,90,408262,20,411874
"300"," E28-04F","C","F","REP"," anthony",56371,260409,0,329356,54932,146418,0,152957,0,0,0,50423,0,0,28367,719230,0,0,0,28,63,0,127,10,20,0,0,20,0,0,0,0,20,0,0,4,143,0,0,405,1597113,258,1217334,4,28367,20,152957,24,181324,-16,-124590,234,1036010,177,581129,147,379779,30,201350
"301"," E28-01F","C","F","SHAM"," Colin",132024,302787,780,70645,0,77914,0,178271,0,0,1050,29441,0,0,461189,453842,89261,2796,0,77,86,1,72,0,19,0,0,14,0,0,0,1,19,0,0,56,174,21,4,504,1632825,433,1621220,60,463985,14,178271,74,642256,46,285714,337,888653,111,178780,92,100866,19,77914
"302"," E28-03F","C","F","REP"," Colin",223880,82015,8398,70968,0,209832,0,446965,0,0,1560,47562,965,0,119363,343515,239747,5230,0,83,34,2,75,0,24,0,0,51,0,0,0,1,16,1,0,18,136,37,8,425,1350421,369,1463240,26,124593,51,446965,77,571558,-25,-322372,254,650375,117,336760,93,126928,24,209832
"303"," E28-05M","C","M","SHAM"," Colin",108220,119633,8184,193246,0,346469,0,12043,0,0,5290,509117,708,0,199970,283383,3432,10305,0,60,67,8,234,0,68,0,15,3,0,0,0,2,154,1,0,54,175,1,11,784,1450099,389,742984,80,210275,3,12043,83,222318,77,198232,303,511944,464,1057016,396,710547,68,346469
"304"," E28-06M","C","M","REP"," Colin",63995,98801,4044,103351,136824,549155,0,20277,0,0,0,44915,0,0,264738,105395,403215,5290,1,33,40,2,87,17,68,0,0,10,0,0,0,0,16,0,0,26,58,28,3,276,710806,199,961711,29,270028,10,20277,39,290305,19,249751,132,268191,190,838289,105,152310,85,685979
"305"," E29-02F","C","F","GDX"," anthony",36109,78727,17291,483276,251223,195292,0,64490,0,0,0,199238,0,0,171510,300223,1994,0,0,17,20,5,135,23,27,0,0,19,0,0,0,0,55,0,0,20,68,1,0,339,1350864,145,653053,20,171510,19,64490,39,236000,1,107020,105,415059,245,1146320,195,699805,50,446515
"306"," E29-03F","C","F","GDX"," Anthony",24089,162816,0,323798,345849,124421,0,94797,0,0,0,57518,0,0,302552,362222,0,0,0,10,28,0,88,31,26,0,0,11,0,0,0,0,22,0,0,23,68,0,0,250,1327792,140,946476,23,302552,11,94797,34,397349,12,207755,106,549127,167,851586,110,381316,57,470270
"307"," E29-04F","C","F","GDX"," anthony",61546,255488,0,566648,17288,62315,0,56704,0,0,0,113971,0,0,216460,441920,6972,0,0,24,36,0,124,7,10,0,0,11,0,0,0,0,26,0,0,14,87,1,0,322,1712737,173,1039090,14,216460,11,56704,25,273164,3,159756,147,758954,167,760222,150,680619,17,79603
"308"," E29-01F","C","F","SHAM"," Colin",179230,234298,0,138143,0,250204,0,115192,0,0,1657,263375,0,0,40257,362475,197422,17747,0,72,72,0,149,0,42,0,0,17,0,0,0,1,87,0,0,6,157,21,18,579,1352374,364,1148278,24,58004,17,115192,41,173196,7,-57188,301,776003,278,651722,236,401518,42,250204
"309"," E29-05M","C","M","SHAM"," Colin",1969,121527,0,254586,226632,483810,0,0,30009,170699,266044,110614,0,0,5434,119406,8401,869,2,2,55,0,173,87,74,0,250,0,0,10,45,74,49,0,0,1,67,3,1,729,1081157,510,724358,252,6303,10,30009,262,36312,242,-23706,126,242902,383,1075642,222,365200,161,710442
"310"," E29-06M","C","M","GDX"," Colin",155748,145677,0,130764,26761,260569,0,144880,0,0,0,82012,0,0,204876,359313,284362,5038,0,87,56,0,138,13,52,0,1,28,0,0,0,0,34,0,0,33,173,51,6,556,1228308,435,1299894,40,209914,28,144880,68,354794,12,65034,316,660738,237,500106,172,212776,65,287330
"311"," E30-01M","C","M","REP"," Colin",115099,157121,6078,257918,25760,143799,0,26282,0,0,0,309171,0,1688,147542,417264,187365,4913,0,57,60,2,200,10,55,0,1,6,0,0,0,0,98,0,1,33,121,25,5,584,1443076,308,1055586,39,152455,6,26282,45,178737,33,126173,238,689484,366,744414,300,573167,65,169559
"312"," E30-02M","C","M","REP"," Colin",116487,196365,4524,195710,17679,203099,0,74125,0,0,1717,241299,0,0,268505,329290,148300,2900,0,67,70,2,205,9,81,0,0,13,0,0,0,1,83,0,0,40,131,43,3,615,1430922,368,1137689,43,271405,13,74125,56,345530,30,197280,268,642142,380,662311,290,441533,90,220778
"313"," E30-03M","C","M","SHAM"," Colin",197679,245904,3311,180446,0,93559,0,95323,0,0,0,261092,0,0,109174,518984,78891,15637,0,118,94,3,205,0,46,0,1,20,0,0,0,0,109,0,0,35,255,19,15,855,1627550,557,1261592,51,124811,20,95323,71,220134,31,29488,467,962567,363,538408,317,444849,46,93559
"314"," E30-04M","C","M","SHAM"," Colin",96806,211284,2150,138880,23576,390412,0,69534,0,2928,74854,80440,0,886,112396,354866,204881,36107,1,57,55,1,114,12,64,0,98,8,0,0,1,11,30,0,1,18,118,20,16,529,1181131,403,1163656,132,148503,8,69534,140,218037,124,78969,231,662956,222,636344,145,221470,76,413988
"315"," E30-05M","C","M","REP"," Colin",126050,146637,13847,200737,6030,316578,0,79407,0,0,0,292960,0,0,302364,268628,42630,4132,1,71,56,3,223,1,89,0,0,13,0,0,0,0,108,0,0,43,134,13,3,655,1434762,334,969848,46,306496,13,79407,59,385903,33,227089,262,541315,424,830152,334,507544,90,322608
"316"," E30-06F","C","F","SHAM"," Colin",79967,206959,0,180589,0,351580,0,26941,0,0,0,186358,0,0,167072,367778,228851,3905,0,57,79,0,190,0,89,0,0,11,0,0,0,0,71,0,0,36,146,54,3,593,1219569,386,1081473,39,170977,11,26941,50,197918,28,144036,282,654704,350,718527,261,366947,89,351580
"317"," E30-07M","C","M","REP"," Colin",195359,176022,0,108883,41070,110072,0,166858,0,0,14464,51562,0,721,143799,496023,282446,12721,0,84,54,0,103,6,29,0,18,31,0,0,0,3,18,0,1,30,147,52,11,500,1366412,430,1487692,59,156520,31,166858,90,323378,28,-10338,285,867404,157,312308,121,160445,35,151142
"318"," E3-01","T","M","GDX"," Colin",61688,98496,0,190646,1224,357971,0,310815,0,0,0,222055,0,0,70573,317023,169509,0,0,28,19,0,124,1,40,0,0,21,0,0,0,0,59,0,0,15,82,12,0,348,1271296,177,1028104,15,70573,21,310815,36,381388,-6,-240242,129,477207,224,771896,183,412701,41,359195
"319"," E3-02","T","M","REP"," Colin",111959,245003,14534,295276,0,318688,0,21881,0,0,21726,410001,0,0,81912,270245,1727,2547,0,45,105,7,237,0,77,0,16,4,1,0,0,6,118,0,0,32,128,2,1,700,1475084,340,757000,49,84459,5,21881,54,106340,44,62578,278,627207,439,1038499,362,719811,77,318688
"320"," E3-03","T","M","SHAM"," Colin",238846,25850,0,16719,23180,197243,0,167724,0,0,0,1670,0,0,7826,317503,802646,0,0,25,3,0,11,1,13,0,0,14,0,0,0,0,1,0,0,1,38,35,0,93,776138,116,1560395,1,7826,14,167724,15,175550,-13,-159898,66,582199,26,238812,12,18389,14,220423
"321"," E3-05","T","M","GDX"," Colin",18000,448525,0,345991,6160,314306,0,12436,944,6063,35302,246101,0,967,53863,307768,0,3574,0,14,141,0,227,3,65,0,3,3,0,2,1,7,121,0,1,18,132,0,2,672,1479534,323,886475,23,57437,5,13380,28,70817,18,44057,287,774293,417,913525,348,592092,68,320466
"322"," E3-07","T","M","SHAM"," Colin",195198,143146,0,389392,0,87531,0,14612,0,0,20455,298669,0,507,78295,570541,0,1654,0,86,56,0,290,0,18,0,27,5,1,0,0,4,137,0,1,18,231,0,3,859,1712469,431,1023901,48,79949,6,14612,54,94561,42,65337,373,908885,446,776099,427,688061,18,87531
"323"," E3-08","T","F","GDX"," Colin",152155,238827,0,124451,2315,170909,0,71573,0,0,33226,210126,0,0,116397,657174,17823,5024,0,79,66,0,141,2,20,0,0,11,0,0,0,1,84,0,0,21,168,6,8,579,1608953,360,1292199,29,121421,11,71573,40,192994,18,49848,313,1048156,247,507801,225,334577,22,173224
"324"," E31-03F","C","F","SHAM"," anthony",115797,106724,0,381622,129368,33715,0,118065,0,0,0,80291,0,0,237586,488543,107484,0,0,25,19,0,74,10,6,0,0,11,0,0,0,0,16,0,0,24,64,1,0,233,1528628,144,1174199,24,237586,11,118065,35,355651,13,119521,108,711064,106,624996,90,461913,16,163083
"325"," E31-02F","C","F","GDX"," anthony",106180,212785,0,356756,86651,245561,0,88179,0,0,0,112881,0,0,279389,273527,37541,0,0,23,25,0,89,6,21,0,0,7,0,0,0,0,28,0,0,22,45,3,0,239,1429697,125,997601,22,279389,7,88179,29,367568,15,191210,93,592492,144,801849,117,469637,27,332212
"326"," E31-03F","C","F","SHAM"," Colin",206871,197959,0,134968,0,34138,69,268447,0,0,601,44096,0,0,135160,580281,178797,18613,0,128,99,0,160,0,21,1,0,41,0,0,0,1,24,0,0,29,272,42,21,776,1587065,634,1586798,50,153773,42,268516,92,422289,8,-114743,499,985111,205,213202,184,179064,21,34138
"327"," E31-04M","C","M","GDX"," Colin",210483,175466,0,97253,41758,352116,0,153899,0,0,17926,51160,0,0,251882,258756,171435,17866,0,68,51,0,91,10,58,0,23,13,0,0,0,1,18,0,0,30,100,28,13,408,1234691,327,1257713,66,269748,13,153899,79,423647,53,115849,219,644705,177,542287,109,148413,68,393874
"328"," E31-06M","C","M","REP"," Colin",76209,154619,0,82929,4225,247059,0,179794,0,0,0,55441,0,1061,532884,271017,181096,13374,0,37,52,0,92,2,55,0,1,14,0,0,0,0,23,0,1,55,119,22,9,403,1367328,309,1408993,65,546258,14,179794,79,726052,51,366464,208,501845,173,390715,115,138370,57,251284
"329"," E32-01M","C","M","GDX"," Colin",52206,227656,48254,156584,5411,275392,0,75643,0,949,13904,132031,840,0,401373,248495,151835,3865,0,26,62,3,126,3,63,0,9,10,0,0,1,5,49,1,0,47,100,20,3,442,1361800,284,1176766,59,405238,10,75643,69,480881,49,329595,189,529197,244,617672,178,336869,66,280803
"330"," E32-02M","C","M","GDX"," Colin",91128,135518,0,128964,1464,383954,0,161908,0,0,0,207700,0,1634,0,206103,479131,2496,0,34,30,0,128,1,69,0,0,21,0,0,0,0,60,0,1,0,85,48,2,361,935451,220,1076284,2,2496,21,161908,23,164404,-19,-159412,149,432749,259,723716,188,336664,70,385418
"331"," E32-04F","C","F","GDX"," Colin",61106,205235,0,73324,840,305536,0,391005,0,0,0,25472,0,0,135314,387585,211863,2720,0,37,87,0,88,1,37,0,0,10,0,0,0,0,9,0,0,30,146,11,3,410,1281761,324,1394828,33,138034,10,391005,43,529039,23,-252971,270,653926,135,405172,97,98796,38,306376
"332"," E32-05F","C","F","GDX"," Colin",226953,176554,0,174762,0,200293,0,329328,0,0,0,99748,0,0,58618,485937,29443,18364,0,134,85,0,176,0,56,0,0,57,0,0,0,0,48,0,0,20,230,9,23,773,1570264,558,1325197,43,76982,57,329328,100,406310,-14,-252346,449,889444,280,474803,224,274510,56,200293
"333"," E32-06F","C","F","SHAM"," Colin",128529,151745,0,189152,0,287319,2318,60203,0,0,0,315102,0,512,100411,502430,50374,11905,0,79,81,0,201,0,51,2,0,14,0,0,0,0,85,0,1,16,200,16,14,693,1462307,422,1007915,30,112316,16,62521,46,174837,14,49795,360,782704,338,792085,286,504254,51,287319
"334"," E33-01F","C","F","SHAM"," Colin",30054,316369,0,165646,0,165623,0,66984,0,0,0,122272,0,0,316284,362998,251981,1789,0,26,86,0,144,0,47,0,0,9,0,0,0,0,49,0,0,31,125,40,2,472,1382396,319,1346459,33,318073,9,66984,42,385057,24,251089,237,709421,240,453541,193,287918,47,165623
"335"," E33-02F","C","F","SHAM"," Colin",166375,101179,0,246102,1540,313019,0,136785,0,0,0,187040,0,1758,183472,320753,116829,25148,0,94,56,0,219,2,80,0,0,12,0,0,0,0,79,0,1,47,173,24,29,710,1368612,435,1050541,76,208620,12,136785,88,345405,64,71835,323,588307,381,749459,298,433142,82,314559
"336"," E33-04M","C","M","SHAM"," Colin",191802,198225,0,160215,4637,82177,0,58609,0,0,0,132125,0,0,330805,524090,110498,6817,0,98,83,0,183,4,38,0,3,10,0,0,0,0,56,0,0,76,211,20,6,726,1602688,507,1420846,85,337622,10,58609,95,396231,75,279013,392,914117,281,379154,239,292340,42,86814
"337"," E33-05M","C","M","GDX"," Colin",189559,281064,0,128023,0,43934,0,220595,0,0,0,49768,0,0,151777,591406,138244,5630,0,125,106,0,149,0,17,0,0,23,0,0,0,0,29,0,0,36,242,20,9,719,1617822,561,1578275,45,157407,23,220595,68,378002,22,-63188,473,1062029,195,221725,178,177791,17,43934
"338"," E33-06M","C","M","SHAM"," Colin",234568,269225,778,160649,0,50467,0,12678,0,0,0,241599,0,694,247873,544649,20925,15895,0,126,109,1,204,0,23,0,0,2,0,0,0,0,85,0,1,40,247,9,14,829,1728608,547,1345813,54,263768,2,12678,56,276446,52,251090,482,1048442,314,454187,290,403026,23,50467
"339"," E34-03F","C","F","REP"," Anthony",77895,35715,0,432642,37514,232175,0,96202,0,0,0,661870,0,0,7121,216509,0,0,0,15,6,0,113,5,17,0,0,9,0,0,0,0,70,0,0,2,45,0,0,260,1527954,77,433442,2,7121,9,96202,11,103323,-7,-89081,66,330119,205,1364201,183,1094512,22,269689
"340"," E34-01F","C","F","REP"," Colin",146922,177804,0,150626,998,213649,0,156414,0,0,4461,125572,0,0,111364,609817,100957,1416,0,94,87,0,176,1,45,0,0,24,0,0,0,2,44,0,0,39,236,20,3,705,1484396,505,1309155,42,112780,24,156414,66,269194,18,-43634,417,934543,266,490845,220,276198,46,214647
"341"," E34-02F","C","F","SHAM"," Colin",183611,340222,504,166255,1116,243052,0,16561,0,0,0,77101,0,0,182791,455591,107608,25588,0,96,96,1,161,1,43,0,0,10,0,0,0,0,31,0,0,29,201,16,20,645,1448224,468,1311972,49,208379,10,16561,59,224940,39,191818,393,979424,237,488028,193,243860,44,244168
"342"," E34-04F","C","F","GDX"," Colin",199493,178911,0,156166,1902,130744,0,10521,0,0,0,146947,0,0,330150,543365,81158,20643,0,111,91,0,174,1,63,0,0,3,0,0,0,0,64,0,0,84,230,26,14,771,1586196,559,1364241,98,350793,3,10521,101,361314,95,340272,432,921769,302,435759,238,303113,64,132646
"343"," E34-05M","C","M","REP"," Colin",214809,188221,1252,161341,33622,91240,0,74905,0,0,23995,108091,0,0,310523,427418,150230,14353,0,139,63,1,156,12,28,0,17,20,0,0,0,4,39,0,0,52,199,25,17,707,1524908,536,1404454,86,324876,20,74905,106,399781,66,249971,401,830448,236,395546,196,270684,40,124862
"344"," E34-07M","C","M","REP"," Colin",76159,215161,0,106256,27851,213923,0,220320,0,1356,31516,46447,0,0,309028,267419,280312,4252,1,41,65,0,98,10,45,0,21,22,0,0,1,8,23,0,0,50,120,48,5,455,1277914,382,1405523,76,313280,22,220320,98,533600,54,92960,227,558739,176,394477,121,152703,55,241774
"345"," E35-02F","C","F","GDX"," Anthony",33730,444883,1599,306436,43118,156874,0,74203,0,0,0,305904,0,0,242098,189843,0,0,0,12,47,1,94,3,28,0,0,10,0,0,0,0,45,0,0,23,41,0,0,273,1598696,133,984757,23,242098,10,74203,33,316301,13,167895,100,668456,171,813931,140,613939,31,199992
"346"," E35-01F","C","F","GDX"," Colin",179356,75064,0,178484,0,415975,0,140171,0,0,444,154196,0,971,6294,425351,216663,7031,0,73,52,0,217,0,104,0,0,18,0,0,0,1,79,0,1,6,196,25,7,650,1167362,378,1050374,13,13325,18,140171,31,153496,-5,-126846,321,679771,401,749626,296,332680,104,415975
"347"," E35-05M","C","M","REP"," Colin",113474,261655,0,213475,52376,445846,0,900,0,54299,141438,144498,0,0,143582,127706,92039,8712,2,39,70,0,181,10,82,0,144,1,0,0,11,24,69,0,0,22,69,24,10,642,1209739,416,943805,176,152294,1,900,177,153194,175,151394,180,502835,342,856195,250,357973,92,498222
"348"," E35-06M","C","M","GDX"," Colin",209695,108048,0,156816,13691,123543,0,248806,717,0,0,75634,0,0,279723,291685,276678,14964,0,100,54,0,168,6,56,0,0,40,1,1,0,0,33,0,0,42,153,49,16,608,1386088,456,1430316,58,294687,42,249523,100,544210,16,45164,307,609428,263,369684,201,232450,62,137234
"349"," E36-01F","T","F","GDX"," anthony",4881,252874,17175,409405,50917,313106,0,8100,0,0,0,274617,0,0,255035,211656,0,0,0,2,38,1,98,6,25,0,0,4,0,0,0,0,41,0,0,22,36,0,0,242,1433743,102,732546,22,255035,4,8100,26,263135,18,246935,76,469411,171,1065220,140,701197,31,364023
"350"," E36-03F","T","F","GDX"," anthony",133561,238551,0,367132,21752,147601,0,57787,0,0,0,189653,0,1720,155949,484803,0,0,0,37,27,0,102,2,13,0,0,11,0,0,0,0,46,0,1,16,66,0,0,306,1629156,157,1070651,16,155949,11,57787,27,213736,5,98162,130,856915,164,727858,148,556785,15,169353
"351"," E36-02F","T","F","SHAM"," Colin",47820,505403,577,136548,865,104424,0,17963,0,0,1525,227618,0,0,406934,331812,13847,4664,0,43,150,1,154,1,40,0,1,7,0,0,0,1,67,0,0,66,198,8,7,695,1680864,481,1329968,74,411598,7,17963,81,429561,67,393635,391,885035,263,470032,222,364743,41,105289
"352"," E36-03F","T","F","GDX"," Colin",273361,244865,0,236514,0,62087,0,78615,0,0,0,150105,2002,0,169280,523090,33145,26936,0,175,98,0,262,0,48,0,0,28,0,0,0,0,72,1,0,68,297,10,27,1028,1704768,704,1351294,95,196216,28,78615,123,274831,67,117601,571,1043318,382,448706,334,386619,48,62087
"353"," E36-06M","T","M","REP"," Colin",149873,225289,0,87211,1525,121470,0,134589,0,0,742,56903,0,0,368751,386450,236682,30515,0,75,80,0,98,2,39,0,2,6,0,0,0,1,26,0,0,63,178,26,25,554,1440323,456,1532891,90,399266,6,134589,96,533855,84,264677,333,761612,165,267109,124,144114,41,122995
"354"," E38-01F","T","F","REP"," Colin",95110,189563,0,95886,0,495078,0,72568,0,0,0,175024,1187,0,266085,320099,80052,9348,0,53,76,0,112,0,54,0,0,4,0,0,0,0,45,1,0,45,146,22,9,491,1224870,356,1034012,54,275433,4,72568,58,348001,50,202865,276,605959,211,765988,157,270910,54,495078
"355"," E38-02F","T","F","GDX"," Colin",73487,81037,1632,173710,22746,636075,0,108724,0,0,38,151691,0,0,352331,135175,59764,3590,0,49,48,1,141,2,69,0,0,13,0,0,0,1,50,0,0,28,87,11,3,421,1081415,240,814146,31,355921,13,108724,44,464645,18,247197,184,289699,263,985854,192,327033,71,658821
"356"," E38-03F","T","F","SHAM"," Colin",100309,310199,0,153059,435,319540,0,22680,0,0,0,230510,0,0,303665,279326,68274,12003,0,74,119,0,167,1,45,0,0,7,0,0,0,0,79,0,0,77,164,10,18,705,1411751,469,1096456,95,315668,7,22680,102,338348,88,292988,357,689834,292,703544,246,383569,46,319975
"357"," E38-04F","T","F","GDX"," Colin",71599,250893,0,193402,2996,86970,0,78602,0,0,4331,152763,0,0,660119,236649,54817,6859,0,49,112,0,162,2,32,0,0,13,0,0,0,3,53,0,0,94,155,20,10,651,1655217,456,1363869,104,666978,13,78602,117,745580,91,588376,316,559141,249,436131,215,346165,34,89966
"358"," E38-05M","T","M","GDX"," Colin",52976,80081,0,191174,10681,460803,0,62511,0,0,0,276959,0,0,117916,159537,382646,4716,0,39,34,0,166,6,56,0,0,12,0,0,0,0,69,0,0,11,88,22,3,422,945870,209,860383,14,122632,12,62511,26,185143,2,60121,161,292594,297,939617,235,468133,62,471484
"359"," E38-06M","T","M","SHAM"," Colin",153946,200391,1452,215574,10260,312645,0,9420,2097,2559,69089,223241,0,0,162217,364057,66873,6179,1,77,72,1,192,6,69,0,64,2,0,2,2,15,101,0,0,41,158,7,9,737,1410222,450,1036828,114,168396,4,11517,118,179913,110,156879,308,718394,369,763172,294,440267,75,322905
"360"," E39-01F","T","F","REP"," Colin",192334,332691,0,153519,5729,135748,0,123263,0,0,0,42470,0,0,178967,418230,212620,4429,0,112,111,0,156,4,48,0,0,32,0,0,0,0,23,0,0,23,195,39,9,661,1445903,521,1462534,32,183396,32,123263,64,306659,0,60133,418,943255,231,337466,179,195989,52,141477
