"","Subject","Treatment","Sex","Gonad","Scorer","SniffAnoDur","SniffHeadDur","DigDur","ActiveHDur","InactiveDur","GroomDur","AvoidDur","SubDur","DefenseDur","OpenAggDur","RitAggDur","ActiveVDur","ApproachDur","StereoDur","DomDur","SniffBodyDur","InactiveTogetherDur","FollowDur","StretchEv","SniffAnoEv","SniffHeadEv","DigEv","ActiveHEv","InactiveEv","GroomEv","AvoidEv","AttackDelEv","SubEv","AttackRecEv","DefenseEv","OpenAggEv","RitAggEv","ActiveVEv","ApproachEv","StereoEv","DomEv","SniffBodyEv","InactiveTogetherEv","FollowEv","TotalActivityOccur","TotalActivityDuration","TotalSocialOccur","TotalSocialDuration","AgonisticDeliveredOccur","AgonisticDeliveredDuration","AgonisticReceivedOccur","AgonisticReceivedDuration","AgonisticTotalOccur","AgonisticTotalDuration","DominanceScoreOccur","DominanceScoreDuration","SocialInvestigationOccur","SocialInvestigationDuration","NonSocialOccur","NonSocialDuration","NonSocialLocomotorOccur","NonSocialLocomotorDuration","InactiveNonSocialOccur","InactiveNonSocialDuration"
"234"," E13-01M","T","M","GDX"," Colin",63530,148813,0,79581,513182,436938,58494,85294,94839,17738,120744,108988,0,0,716,70455,0,688,0,12,32,0,51,35,34,12,1,15,40,16,5,26,24,0,0,1,25,0,1,261,849880,186,661311,3,1404,83,238627,86,240031,-80,-237223,69,282798,144,1138689,75,188569,69,950120
"235"," E13-05F","T","F","REP"," Colin",105804,297144,4085,116519,0,214432,0,222005,0,0,0,61121,0,1592,205232,456354,115712,0,0,45,57,2,93,0,21,0,0,10,0,0,0,0,29,0,1,33,129,12,0,399,1469856,286,1402251,33,205232,10,222005,43,427237,23,-16773,231,859302,146,397749,124,181725,21,214432
"236"," E13-06F","T","F","SHAM"," Colin",9513,572452,0,236392,4063,87868,2943,241554,0,0,0,247529,0,0,24106,321977,51603,0,1,10,134,0,174,2,27,2,0,36,1,0,0,0,79,0,0,9,114,9,0,560,1656466,316,1224148,9,24106,39,244497,48,268603,-30,-220391,259,903942,282,575852,253,483921,29,91931
"237"," E13-12Fa","T","F","GDX"," Colin",253602,305461,0,125454,0,69066,0,34302,0,0,707,310304,0,1549,76602,584535,35085,3333,0,102,84,0,124,0,19,0,0,3,0,0,0,1,89,0,1,17,182,2,3,606,1695849,394,1293627,20,79935,3,34302,23,114237,17,45633,368,1143598,233,506373,213,435758,19,69066
"238"," E14-07M","T","M","SHAM"," Colin",12694,261568,480,180130,6203,751717,0,77053,0,7775,296377,139009,0,0,600,64810,1584,0,0,6,66,1,126,2,67,0,51,12,1,0,4,64,53,0,0,1,42,1,0,427,1040496,248,722461,52,600,13,77053,65,77653,39,-76453,114,339072,249,1077539,180,319619,69,757920
"239"," E14-09Fa","T","F","REP"," Colin",287993,163725,0,114185,0,191449,0,239988,0,0,3144,154105,0,0,42773,398654,191487,12497,0,99,46,0,122,0,31,0,0,15,0,0,0,1,56,0,0,14,143,16,11,507,1417064,345,1340261,25,55270,15,239988,40,295258,10,-184718,288,850372,209,459739,178,268290,31,191449
"240"," E14-10Fa","T","F","GDX"," Colin",113007,96908,0,165473,2205,577020,1542,44925,0,0,4151,111517,0,0,256172,376000,50565,515,0,45,31,0,113,1,53,1,0,4,0,0,0,2,37,0,0,25,118,9,1,377,1170210,236,943785,26,256687,5,46467,31,303154,21,210220,194,585915,204,856215,150,276990,54,579225
"241"," E14-12M","T","M","GDX"," Colin",83496,253257,0,156395,59457,389645,14154,182875,5397,59153,110980,108216,0,0,32146,249498,93897,1434,0,40,49,0,104,14,39,9,4,38,65,2,7,22,36,0,0,6,89,10,2,473,1257001,343,1086287,12,33580,114,202426,126,236006,-102,-168846,178,586251,193,713713,140,264611,53,449102
"242"," E15-01M","C","F","SHAM"," Colin",26150,66989,4740,332346,37738,716160,0,39470,0,0,0,498095,0,0,0,70092,807,7413,0,14,33,1,213,15,120,0,0,18,0,0,0,0,116,0,0,0,49,1,6,450,1045295,121,210921,6,7413,18,39470,24,46883,-12,-32057,96,163231,465,1589079,330,835181,135,753898
"243"," E15-02F","C","F","GDX"," Colin",91071,81096,0,99935,119089,521230,0,231314,0,0,0,60889,0,0,294740,152736,143937,3963,0,39,26,0,75,14,50,0,0,10,0,0,0,0,22,0,0,9,57,13,3,241,1015744,157,998857,12,298703,10,231314,22,530017,2,67389,122,324903,161,801143,97,160824,64,640319
"244"," E15-07M","C","M","SHAM"," Colin",103716,186305,11467,200287,1293,517143,0,0,0,0,39763,322707,0,0,212426,201587,0,3306,0,44,70,5,167,1,78,0,47,0,0,0,0,15,91,0,0,42,116,0,3,600,1281564,337,747103,92,215732,0,0,92,215732,92,215732,230,491608,342,1052897,263,534461,79,518436
"245"," E16-05F","T","F","GDX"," Colin",60600,81737,0,345386,0,386568,0,23375,1398,0,1320,466681,0,12,150295,258165,21983,2480,0,44,31,0,270,0,90,0,0,9,0,1,0,1,150,0,1,39,140,5,3,689,1391449,273,601353,42,152775,10,24773,52,177548,32,128002,215,400502,511,1198647,420,812067,90,386568
