Subject,Treatment,Sex,Gonad,Estrus,Scorer,SniffAnoDur,SniffHeadDur,DigDur,ActiveHDur,InactiveDur,GroomDur,AvoidDur,SubDur,DefenseDur,OpenAggDur,RitAggDur,ActiveVDur,ApproachDur,StereoDur,DomDur,SniffBodyDur,InactiveTogetherDur,FollowDur,StretchEv,SniffAnoEv,SniffHeadEv,DigEv,ActiveHEv,InactiveEv,GroomEv,AvoidEv,AttackDelEv,SubEv,AttackRecEv,DefenseEv,OpenAggEv,RitAggEv,ActiveVEv,ApproachEv,StereoEv,DomEv,SniffBodyEv,InactiveTogetherEv,FollowEv,TotalActivityOccur,TotalActivityDuration,TotalSocialOccur,TotalSocialDuration,AgonisticDeliveredOccur,AgonisticDeliveredDuration,AgonisticReceivedOccur,AgonisticReceivedDuration,AgonisticTotalOccur,AgonisticTotalDuration,DominanceScoreOccur,DominanceScoreDuration,SocialInvestigationOccur,SocialInvestigationDuration,NonSocialOccur,NonSocialDuration,NonSocialLocomotorOccur,NonSocialLocomotorDuration,InactiveNonSocialOccur,InactiveNonSocialDuration,TransTotalActivityDur,TransTotalAgonisticDur,TransAgonisticDeliveredDur,TransAgonisticDeliveredFreq,TransAgonisticReceivedDur,TransAgonisticReceivedFreq,TransNonSocialDur,TransNonSocialFreq,TransActiveNonSocialDur,TransActiveNonSocialFreq,TransInactiveNonSocialDur,TransInactiveNonSocialFreq,TransRitualizedAggressionDur,TransRitualizedAggressionFreq,TransAttacksReceived,TransDominanceDur,TransDominanceFreq,TransFollowDur,TransFollowFreq,TransSubmissiveDur,TransSubmissiveFreq,TransAnogenitalDur,TransAnogenitalFreq,TransSocialInactiveDur,TransSocialInactiveFreq,TransDigDur,TransDigFreq,TransInactiveDur,TransInactiveFreq,TransGroomDur,TransGroomFreq
 E12-03F,T,F,REP,NA, Colin,167979,81366,5730,108510,29478,27012,0,21252,0,0,0,104900,0,0,99643,249330,0,4800,0,64,28,1,73,15,5,0,0,4,1,0,0,0,54,0,0,4,82,0,7,318,843510,190,624370,11,104443,5,21252,16,125695,6,83191,174,498675,148,275630,128,219140,20,56490,918.4285492,11.74162157,323.1779695,2.48490665,145.7840869,2.449489743,525.0057143,12.20655562,468.1249833,11.35781669,10.94183661,3.044522438,0,0,0.693147181,315.6643787,1.609437912,69.28924881,2.079441542,145.7840869,2.236067977,12.0316002,4.17438727,0,0,8.653645315,0.693147181,10.29143342,2.772588722,10.20407351,1.791759469
 E16-02aF,T,F,SHAM,E, Colin,253034,121520,0,57739,3422,51761,0,57815,0,0,0,43218,0,0,19877,269821,20670,1123,0,93,44,0,49,5,11,0,0,12,5,0,0,0,28,0,0,4,126,1,2,363,824147,287,743860,6,21000,17,57815,23,78815,-11,-36815,263,644375,93,156140,77,100957,16,55183,907.8259745,11.2748713,144.9172177,1.945910149,240.4495789,4.242640687,395.1468082,9.695359715,317.7388865,8.831760866,10.91842834,2.833213344,0,0,1.791759469,140.9893613,1.609437912,33.52610923,1.098612289,240.4495789,3.605551275,12.4412831,4.543294782,9.936487031,0.693147181,0,0,8.138272639,1.791759469,10.85441157,2.48490665
 E13-02F,T,F,REP,NA, Colin,325295,57714,0,39217,899,1282,0,76287,0,0,0,6176,0,0,0,324748,50188,18194,0,83,22,0,30,1,1,0,0,10,0,0,0,0,8,0,0,0,97,3,20,270,847631,235,852426,20,18194,10,76287,30,94481,10,-58093,202,707757,40,47574,38,45393,2,2181,920.6693217,11.45616462,134.8888431,3.044522438,276.202824,3.31662479,218.1169411,6.403124237,213.0586774,6.244997998,7.687997166,1.098612289,0,0,0,1,0,134.8888431,3.044522438,276.202824,3.31662479,12.69249082,4.430816799,10.82355116,1.386294361,0,0,6.802394763,0.693147181,7.156956365,0.693147181
 E13-02M,T,M,REP,NA, Colin,94330,207429,0,140886,12136,20326,0,9849,0,3999,31583,46224,0,0,78311,229178,0,25749,0,58,52,0,90,4,10,0,22,3,1,0,3,4,23,0,0,17,92,0,23,388,867538,275,680428,62,104060,4,9849,66,113909,58,94211,202,530937,127,219572,113,187110,14,32462,931.4177366,11.64316394,322.5848726,4.143134726,99.24716621,2.236067977,468.5861714,11.3137085,432.5632902,10.67707825,10.38785626,2.708050201,10.36040594,1.609437912,0.693147181,279.842813,2.890371758,160.4680654,3.17805383,99.24716621,2,11.45456515,4.077537444,0,0,0,0,9.404013917,1.609437912,9.919705331,2.397895273
 E13-03F,T,F,SHAM,D, Colin,236167,97391,0,45773,0,10308,0,56485,0,0,0,56455,0,0,0,388934,2548,5939,0,82,31,0,47,0,3,0,0,12,1,0,0,0,27,0,0,0,108,1,9,317,887144,244,787464,9,5939,13,56485,22,62424,-4,-50546,221,722492,77,112536,74,102228,3,10308,941.8837508,11.04172112,77.07139547,2.302585093,237.6678354,3.741657387,335.4653484,8.831760866,319.7327009,8.660254038,9.240772579,1.386294361,0,0,0.693147181,1,0,77.07139547,2.302585093,237.6678354,3.605551275,12.3722987,4.418840608,7.843456404,0.693147181,0,0,0,0,9.240772579,1.386294361
 E13-05F,T,F,REP,NA, Colin,240000,145798,0,36922,2584,6817,568,45492,0,0,0,41531,0,0,3343,370214,0,6731,0,97,61,0,48,1,4,1,0,17,5,0,0,0,20,0,0,2,145,0,12,408,890599,340,812146,14,10074,23,46060,37,56134,-9,-35986,303,756012,73,87854,68,78453,5,9401,943.716059,10.93551478,100.3742995,2.708050201,214.6182658,4.898979486,296.4034413,8.602325267,280.096412,8.306623863,9.148677712,1.791759469,0,0,1.791759469,57.82732918,1.098612289,82.04876599,2.564949357,213.2908812,4.242640687,12.38839837,4.584967479,0,0,0,0,7.857480787,0.693147181,8.827321453,1.609437912
 E14-11M,T,M,REP,NA, Colin,206730,145784,0,85415,48452,48782,0,31562,0,0,0,70320,0,0,0,229925,3472,29558,4,57,27,0,53,22,9,0,0,6,0,0,0,0,19,0,0,0,53,1,24,243,799294,172,647031,24,29558,6,31562,30,61120,18,-2004,141,582439,103,252969,72,155735,31,97234,894.0329972,11.02061078,171.9273102,3.218875825,177.6597872,2.645751311,502.9612311,10.19803903,394.6340077,8.544003745,11.48488601,3.465735903,0,0,0,1,0,171.9273102,3.218875825,177.6597872,2.645751311,12.23917371,4.060443011,8.152774053,0.693147181,0,0,10.78834953,3.135494216,10.79513717,2.302585093
 E14-12F,T,F,SHAM,P, Colin,127758,164864,0,18532,0,23420,0,154414,0,0,0,26860,0,0,568,379740,3488,356,0,75,69,0,17,0,6,0,0,40,1,0,0,0,13,0,0,1,147,1,1,364,873092,335,831188,2,924,41,154414,43,155338,-39,-153490,291,672362,36,68812,30,45392,6,23420,934.3944563,11.9533651,30.41381265,1.098612289,392.9567406,6.480740698,262.3223208,6.08276253,213.0563306,5.567764363,10.06138833,1.945910149,0,0,0.693147181,23.85372088,0.693147181,18.89444363,0.693147181,392.9567406,6.403124237,11.75790096,4.33073334,8.157370441,0.693147181,0,0,0,0,10.06138833,1.945910149
 E14-14F,T,F,REP,NA, Colin,338249,53017,0,21150,0,0,0,204212,0,0,0,7308,0,0,0,263345,0,12719,0,80,14,0,20,0,0,0,0,29,0,0,0,0,4,0,0,0,91,0,14,252,900000,228,871542,14,12719,29,204212,43,216931,-15,-191493,185,654611,24,28458,24,28458,0,0,948.6838251,12.28733922,112.7829774,2.708050201,451.8993251,5.477225575,168.6979549,5,168.6979549,5,0,0,0,0,0,1,0,112.7829774,2.708050201,451.8993251,5.477225575,12.73154055,4.394449155,0,0,0,0,0,0,0,0
 E15-03F,C,F,REP,NA, Colin,286469,17621,0,61893,113664,87794,33876,20456,81490,0,15744,14138,0,0,0,158598,0,8257,0,44,10,0,25,22,8,4,1,6,33,7,0,4,7,0,0,0,42,0,7,190,698542,158,622511,8,8257,50,135822,58,144079,-42,-127565,96,462688,62,277489,32,76031,30,201458,835.7888489,11.87812398,90.8735385,2.197224577,368.5417208,7.141428429,526.773196,7.937253933,275.739007,5.744562647,12.21334117,3.433987204,9.664278134,1.609437912,3.526360525,1,0,90.8735385,2.079441542,143.0279693,2.645751311,12.5653891,3.80666249,0,0,0,0,11.6410108,3.135494216,11.38275983,2.197224577
 E15-08F,C,F,GDX,NA, Colin,253123,107649,0,52571,2619,129318,0,49662,0,0,0,35750,0,0,30632,223378,0,15298,0,81,31,0,43,2,13,0,0,10,0,0,0,0,16,0,0,5,103,0,16,305,768063,246,679742,21,45930,10,49662,31,95592,11,-3732,215,584150,74,220258,59,88321,15,131937,876.3926061,11.46785487,214.3151884,3.091042453,222.8519688,3.31662479,469.3175897,8.660254038,297.1901748,7.745966692,11.79008739,2.772588722,0,0,0,175.0228557,1.791759469,123.6891264,2.833213344,222.8519688,3.31662479,12.44163477,4.406719247,0,0,0,0,7.870929597,1.098612289,11.7700375,2.63905733
 E16-02aF,T,F,SHAM,E, Colin,246461,169628,0,60391,0,10135,760,25634,0,0,0,43548,0,0,5059,325631,9418,3335,0,132,75,0,80,0,2,1,0,12,1,0,0,0,39,0,0,3,191,1,6,540,880447,422,785926,9,8394,14,26394,23,34788,-5,-18000,398,741720,121,114074,119,103939,2,10135,938.3219064,10.45705652,91.6242326,2.302585093,162.4653809,3.872983346,337.7499075,11.04536102,322.3972705,10.95445115,9.223848722,1.098612289,0,0,0.693147181,71.13367698,1.386294361,57.75811631,1.945910149,160.1093376,3.605551275,12.4149631,4.890349128,9.150484205,0.693147181,0,0,0,0,9.223848722,1.098612289
 E16-12F,T,F,GDX,NA, Colin,153534,114197,0,92667,0,16897,0,43651,0,0,0,136551,0,0,5169,337334,0,0,0,81,54,0,100,0,3,0,0,18,2,0,0,0,73,0,0,1,155,0,0,484,883103,311,653885,1,5169,20,43651,21,48820,-19,-38482,290,605065,176,246115,173,229218,3,16897,939.7361332,10.79591583,71.90271205,0.693147181,208.9306105,4.582575695,496.1007962,13.3041347,478.7682111,13.19090596,9.734950551,1.386294361,0,0,1.098612289,71.90271205,0.693147181,1,0,208.9306105,4.358898944,11.94168383,4.406719247,0,0,0,0,0,0,9.734950551,1.386294361
 E16-16M,T,M,SHAM,NA, Colin,202550,86597,0,104465,0,22983,0,92766,0,0,0,77827,0,0,38134,240705,0,33973,1,82,50,0,82,0,7,0,0,8,0,0,0,0,45,0,0,7,116,0,33,424,877017,297,694725,40,72107,8,92766,48,164873,32,-20659,249,529852,134,205275,127,182292,7,22983,936.4923919,12.01293682,268.529328,3.713572067,304.5767555,3,453.0739454,11.61895004,426.9578434,11.3137085,10.0425536,2.079441542,0,0,0,195.2818476,2.079441542,184.3203733,3.526360525,304.5767555,3,12.21874699,4.418840608,0,0,0,0,0,0,10.0425536,2.079441542
 E17-01F,T,F,REP,NA, Colin,221571,109035,0,86279,0,41026,0,96794,0,0,154,85076,0,0,5239,254109,0,717,0,80,55,0,80,0,11,0,0,26,2,0,0,1,50,0,0,4,145,0,2,445,858974,315,687619,6,5956,28,96794,34,102750,-22,-90838,280,584715,141,212381,130,171355,11,41026,926.8090418,11.54006386,77.18160403,1.945910149,311.1189483,5.385164807,460.8492161,11.91637529,413.951688,11.44552314,10.62198567,2.48490665,5.043425117,0.693147181,1.098612289,72.38784428,1.609437912,26.79552201,1.098612289,311.1189483,5.196152423,12.30850287,4.394449155,0,0,0,0,0,0,10.62198567,2.48490665
 E17-03F,T,F,GDX,NA, Colin,237594,115557,0,35934,456,30493,0,13005,0,0,0,44528,0,0,14631,372650,32917,2235,0,69,38,0,40,1,4,0,0,10,2,0,0,0,27,0,0,5,110,2,5,306,836134,241,788589,10,16866,12,13005,22,29871,-2,3861,217,725801,72,111411,67,80462,5,30949,914.4041776,10.30467687,129.8730149,2.397895273,114.0438512,3.605551275,333.7843615,8.544003745,283.6600078,8.246211251,10.34012828,1.791759469,0,0,1.098612289,120.9628042,1.791759469,47.28636167,1.791759469,114.0438512,3.31662479,12.37832282,4.248495242,10.4017749,1.098612289,0,0,6.124683391,0.693147181,10.32528522,1.609437912
 E17-04M,T,M,SHAM,NA, Colin,167234,104444,0,93178,0,16971,25,4690,0,1233,2990,54437,0,0,175134,271991,0,6680,1,76,75,0,81,0,4,1,16,5,3,0,1,2,30,0,0,70,148,0,6,515,882036,404,734421,92,181814,9,4715,101,186529,83,-999,300,543669,115,164586,111,147615,4,16971,939.168249,12.13634736,426.3977017,4.532599493,68.67313885,3.16227766,405.6932339,10.77032961,384.2082768,10.58300524,9.739320206,1.609437912,8.003363059,1.098612289,1.386294361,418.491338,4.262679877,81.73738435,1.945910149,68.4908753,2.449489743,12.02715529,4.343805422,0,0,0,0,0,0,9.739320206,1.609437912
 E17-07F,T,F,SHAM,M, Colin,257290,47198,0,91657,0,10593,0,41920,0,0,0,160791,0,0,18008,271910,0,633,0,88,28,0,86,0,4,0,0,17,4,0,0,0,64,0,0,3,113,0,1,404,889407,254,636959,4,18641,21,41920,25,60561,-17,-23279,229,576398,154,263041,150,252448,4,10593,943.0843016,11.01142291,136.5357096,1.609437912,204.7461843,4.69041576,512.8762034,12.4498996,502.4430316,12.28820573,9.268043082,1.609437912,0,0,1.609437912,134.1976155,1.386294361,25.17935662,0.693147181,204.7461843,4.242640687,12.45796302,4.48863637,0,0,0,0,0,0,9.268043082,1.609437912
 E17-09M,T,M,REP,NA, Colin,104299,173690,0,69396,1791,24458,0,0,0,0,8996,145961,0,952,34678,327514,0,8265,1,43,64,0,62,1,7,0,27,0,1,0,0,2,43,0,1,8,118,0,6,376,873751,270,657442,41,42943,1,0,42,42943,40,42943,226,605503,114,242558,105,215357,8,26249,934.7470246,10.66765222,207.2293416,3.737669618,1,1.414213562,492.5027919,10.72380529,464.0668055,10.29563014,10.17542127,2.197224577,9.104646467,1.098612289,0.693147181,186.2229846,2.197224577,90.91754506,1.945910149,1,1,11.55502664,3.784189634,0,0,0,0,7.491087594,0.693147181,10.10475353,2.079441542
 E18-01F,T,F,GDX,NA, Colin,245187,98469,0,39355,0,32105,0,74441,0,0,0,72008,0,0,1474,333098,0,3863,0,99,36,0,45,0,7,0,0,15,0,0,0,0,28,0,0,1,133,0,5,362,867895,289,756532,6,5337,15,74441,21,79778,-9,-69104,268,676754,80,143468,73,111363,7,32105,931.6093602,11.28701559,73.06161783,1.945910149,272.8406128,4,378.7730191,9,333.7124511,8.602325267,10.37679821,2.079441542,0,0,0,38.40572874,0.693147181,62.16108107,1.791759469,272.8406128,4,12.40978054,4.605170186,0,0,0,0,0,0,10.37679821,2.079441542
 E16-02aF,T,F,GDX,NA, Colin,233584,58088,0,63582,0,13174,0,144982,0,0,0,114305,0,0,605,237510,27556,6614,0,83,19,0,61,0,4,0,0,9,4,0,0,0,43,0,0,1,92,1,12,324,859270,221,708939,13,7219,13,144982,26,152201,0,-137763,194,529182,108,191061,104,177887,4,13174,926.9687158,11.93296386,84.97058314,2.63905733,380.7663325,3.741657387,437.1063944,10.44030651,421.7677086,10.24695077,9.486076373,1.609437912,0,0,1.609437912,24.61706725,0.693147181,81.33265027,2.564949357,380.7663325,3.16227766,12.36130132,4.430816799,10.22401187,0.693147181,0,0,0,0,9.486076373,1.609437912
