Subject,Treatment,Sex,Gonad,Estrus,Scorer,SniffAnoDur,SniffHeadDur,DigDur,ActiveHDur,InactiveDur,GroomDur,AvoidDur,SubDur,DefenseDur,OpenAggDur,RitAggDur,ActiveVDur,ApproachDur,StereoDur,DomDur,SniffBodyDur,InactiveTogetherDur,FollowDur,StretchEv,SniffAnoEv,SniffHeadEv,DigEv,ActiveHEv,InactiveEv,GroomEv,AvoidEv,AttackDelEv,SubEv,AttackRecEv,DefenseEv,OpenAggEv,RitAggEv,ActiveVEv,ApproachEv,StereoEv,DomEv,SniffBodyEv,InactiveTogetherEv,FollowEv,TotalActivityOccur,TotalActivityDuration,TotalSocialOccur,TotalSocialDuration,AgonisticDeliveredOccur,AgonisticDeliveredDuration,AgonisticReceivedOccur,AgonisticReceivedDuration,AgonisticTotalOccur,AgonisticTotalDuration,DominanceScoreOccur,DominanceScoreDuration,SocialInvestigationOccur,SocialInvestigationDuration,NonSocialOccur,NonSocialDuration,NonSocialLocomotorOccur,NonSocialLocomotorDuration,InactiveNonSocialOccur,InactiveNonSocialDuration,TransTotalActivityDur,TransTotalAgonisticDur,TransAgonisticDeliveredDur,TransAgonisticDeliveredFreq,TransAgonisticReceivedDur,TransAgonisticReceivedFreq,TransNonSocialDur,TransNonSocialFreq,TransActiveNonSocialDur,TransActiveNonSocialFreq,TransInactiveNonSocialDur,TransInactiveNonSocialFreq,TransRitualizedAggressionDur,TransRitualizedAggressionFreq,TransAttacksReceived,TransDominanceDur,TransDominanceFreq,TransFollowDur,TransFollowFreq,TransSubmissiveDur,TransSubmissiveFreq,TransAnogenitalDur,TransAnogenitalFreq,TransSocialInactiveDur,TransSocialInactiveFreq,TransDigDur,TransDigFreq,TransInactiveDur,TransInactiveFreq,TransGroomDur,TransGroomFreq
 E22-13F,T,F,SHAM,E, Colin,281274,53925,0,56259,1911,0,0,221277,0,0,0,49131,0,0,8439,161291,52898,13595,0,68,19,0,50,2,0,0,0,23,0,0,0,0,22,0,0,1,75,13,17,275,845191,216,792699,18,22034,23,221277,41,243311,-5,-199243,162,496490,74,107301,72,105390,2,1911,919.3432438,12.40209985,148.4419078,2.944438979,470.4019558,4.898979486,327.5698399,8.660254038,324.6398004,8.544003745,7.555905094,1.098612289,0,0,0,91.86947262,0.693147181,116.6018868,2.890371758,470.4019558,4.898979486,12.54708812,4.234106505,10.87613971,2.63905733,0,0,7.555905094,1.098612289,0,0
 E24-10F,T,F,SHAM,D, Colin,92637,53945,0,94545,0,16405,0,62840,0,0,0,215301,0,0,0,308441,53882,2004,0,59,25,0,88,0,3,0,0,3,2,0,0,0,66,0,0,0,104,4,4,351,829713,201,573749,4,2004,5,62840,9,64844,-1,-60836,188,455023,157,326251,154,309846,3,16405,910.8863815,11.07975509,44.77722635,1.609437912,250.6810723,2.449489743,571.1847337,12.56980509,556.6390213,12.4498996,9.705402401,1.386294361,0,0,1.098612289,1,0,44.77722635,1.609437912,250.6810723,2,11.4364547,4.094344562,10.89457031,1.609437912,0,0,0,0,9.705402401,1.386294361
 E24-11F,T,F,SHAM,E, Colin,136137,119820,0,52698,2745,10738,0,70170,0,0,0,57333,0,0,5237,430164,11526,3432,0,56,47,0,40,1,2,0,0,10,0,0,0,0,37,0,0,1,106,2,6,303,874991,228,776486,7,8669,10,70170,17,78839,-3,-61501,209,686121,80,123514,77,110031,3,13483,935.4100705,11.27517576,93.11283478,2.079441542,264.8980936,3.31662479,351.4470088,9,331.7107173,8.831760866,9.509259076,1.386294361,0,0,0,72.37402849,0.693147181,58.5918083,1.945910149,264.8980936,3.31662479,11.82142436,4.043051268,9.352447389,1.098612289,0,0,7.917900586,0.693147181,9.281637254,1.098612289
 E28-01F,C,F,SHAM,E, Colin,343993,29615,0,40580,0,11717,0,216247,0,0,1444,9889,0,0,1062,228816,1650,14987,0,156,12,0,70,0,2,0,0,50,0,0,0,1,12,0,0,2,140,2,31,474,886633,394,837814,33,16049,50,216247,83,232296,-17,-200198,308,602424,84,62186,82,50469,2,11717,941.6124468,12.355772,126.6885946,3.526360525,465.0247305,7.141428429,249.3732143,9.219544457,224.6552915,9.110433579,9.3688814,1.098612289,7.275864601,0.693147181,0,32.60368077,1.098612289,122.4254875,3.465735903,465.0247305,7.141428429,12.74837949,5.056245805,7.409136444,1.098612289,0,0,0,0,9.3688814,1.098612289
 E28-07F,C,F,SHAM,P, Colin,220502,97009,1918,99348,0,10646,0,24910,0,0,0,125115,0,32,93707,215558,0,11255,0,118,51,1,123,0,5,0,0,16,0,0,0,0,65,0,1,36,161,0,20,592,889354,402,662941,56,104962,16,24910,72,129872,40,80052,330,533069,195,237059,189,226381,5,10646,943.0562019,11.77431233,323.9799377,4.043051268,157.8321894,4.123105626,486.8880775,14,475.7961748,13.78404875,9.273033441,1.791759469,0,0,0,306.1176245,3.610917913,106.0942977,3.044522438,157.8321894,4.123105626,12.30366658,4.779123493,0,0,7.559559496,0.693147181,0,0,9.273033441,1.791759469
 E29-01F,C,F,SHAM,E, Colin,170625,72332,0,66890,0,13395,0,206612,0,0,0,38544,0,0,18610,310955,0,2037,0,123,42,0,125,0,4,0,0,81,0,0,0,0,42,0,0,5,197,0,6,621,886605,454,781171,11,20647,81,206612,92,227259,-70,-185965,362,553912,171,118829,167,105434,4,13395,941.5975786,12.33385002,143.6941196,2.48490665,454.5470273,9.055385138,344.7172755,13.11487705,324.7075607,12.9614814,9.502711434,1.609437912,0,0,0,136.422139,1.791759469,45.14421336,1.945910149,454.5470273,9.055385138,12.04722931,4.820281566,0,0,0,0,0,0,9.502711434,1.609437912
 E30-06F,C,F,SHAM,D, Colin,124701,164464,0,45228,1025,6342,592,143712,2751,0,0,43245,0,824,62814,215133,80661,8508,0,73,43,0,47,1,2,1,0,20,0,2,0,0,21,0,1,10,85,11,15,318,811972,260,803336,25,71322,23,147055,48,218377,2,-75733,201,504298,72,96664,68,88473,3,7367,901.0954444,12.29398279,267.0636628,3.258096538,383.478813,4.898979486,310.9099548,8.544003745,297.4457934,8.306623863,8.904901578,1.386294361,0,0,0,250.6292082,2.397895273,92.24424101,2.772588722,379.0949749,4.582575695,11.73368217,4.304065093,11.29802286,2.48490665,0,0,6.933423026,0.693147181,8.755107122,1.098612289
 E32-06F,C,F,SHAM,D, Colin,160659,121791,0,71177,305,12895,0,71020,554,0,0,114094,0,0,21704,321369,0,4432,0,110,66,0,112,1,6,0,0,36,1,1,0,0,52,0,0,6,181,0,6,571,886800,407,701529,12,26136,38,71574,50,97710,-26,-45438,357,603819,171,198471,164,185271,7,13200,941.7011203,11.48976942,161.6694158,2.564949357,267.5350444,6.244997998,445.5019641,13.11487705,430.4323408,12.84523258,9.488047863,2.079441542,0,0,0.693147181,147.3261688,1.945910149,66.58077801,1.945910149,266.4976548,6.08276253,11.98704561,4.709530201,0,0,0,0,5.723585102,0.693147181,9.464672465,1.945910149
 E34-08F,C,F,SHAM,P, Colin,173401,214005,0,31737,0,5256,6,83165,0,0,0,4381,0,0,8025,371769,0,8255,0,105,63,0,26,0,3,1,0,30,0,0,0,0,2,0,0,3,164,0,14,408,894744,380,858626,17,16280,31,83171,48,99451,-14,-66891,332,759175,31,41374,28,36118,3,5256,945.9096151,11.50743039,127.5970219,2.890371758,288.3955617,5.656854249,203.4084561,5.656854249,190.0499934,5.385164807,8.567315801,1.386294361,0,0,0,89.58794562,1.386294361,90.86253353,2.708050201,288.3851591,5.567764363,12.06336788,4.663439094,0,0,0,0,0,0,8.567315801,1.386294361
 E35-08F,C,F,SHAM,D, Colin,247940,115557,0,46832,0,22138,520,65816,0,0,0,46347,0,0,48677,299237,889,6047,0,122,56,0,51,0,11,1,0,36,1,0,0,0,31,0,0,26,180,1,13,517,876973,436,784683,39,54724,38,66336,77,121060,1,-11612,358,662734,93,115317,82,93179,11,22138,936.4688996,11.70404983,233.9337513,3.688879454,257.5597018,6.244997998,339.5850409,9.695359715,305.2539926,9.110433579,10.00509604,2.48490665,0,0,0.693147181,220.6309135,3.295836866,77.76888838,2.63905733,256.5482411,6.08276253,12.42094609,4.812184355,6.791221463,0.693147181,0,0,0,0,10.00509604,2.48490665
 E36-08F,T,F,SHAM,D, Colin,92278,166388,1434,75292,0,8965,0,4621,0,0,0,219249,0,0,17849,307223,0,6701,0,69,79,1,91,0,9,0,0,4,0,0,0,0,54,0,0,8,151,0,11,468,891035,322,595060,19,24550,4,4621,23,29171,15,19929,299,565889,155,304940,146,295975,9,8965,943.9470324,10.28096462,156.6875873,2.995732274,67.98529253,2.236067977,552.2146322,12.489996,544.0367635,12.12435565,9.101194925,2.302585093,0,0,0,133.6038922,2.197224577,81.86574375,2.48490665,67.98529253,2.236067977,11.43257188,4.248495242,0,0,7.268920128,0.693147181,0,0,9.101194925,2.302585093
 E39-07F,T,F,SHAM,E, Colin,158649,181953,0,17288,0,4086,0,60766,0,0,0,2264,0,0,91382,371095,0,12517,0,99,74,0,24,0,2,0,0,36,0,0,0,0,2,0,0,28,170,0,15,448,895914,422,876362,43,103899,36,60766,79,164665,7,43133,343,711697,28,23638,26,19552,2,4086,946.5278654,12.01167446,322.3352292,3.784189634,246.5096347,6.08276253,153.7497967,5.385164807,139.8320421,5.196152423,8.315566484,1.098612289,0,0,0,302.2962123,3.36729583,111.8838684,2.772588722,246.5096347,6.08276253,11.9744558,4.605170186,0,0,0,0,0,0,8.315566484,1.098612289
 E40-03F,T,F,SHAM,D, Colin,174424,190023,0,29844,0,882,0,66901,0,0,841,5697,0,0,742,426873,0,3773,0,112,73,0,44,0,1,0,0,32,0,0,0,1,9,0,0,2,183,0,10,466,899118,413,863577,12,4515,32,66901,44,71416,-20,-62386,368,791320,54,36423,53,35541,1,882,948.2188566,11.17629122,67.20119047,2.564949357,258.6542093,5.744562647,190.850727,7.416198487,188.5258603,7.348469228,6.783325201,0.693147181,6.735780014,0.693147181,0,27.25802634,1.098612289,61.43289021,2.397895273,258.6542093,5.744562647,12.06925013,4.727387819,0,0,0,0,0,0,6.783325201,0.693147181
 E46-01F,C,F,SHAM,P, Colin,113700,83501,9223,52479,1830,27235,0,170074,0,0,0,59558,0,0,21197,354991,0,6212,0,57,44,4,51,1,10,0,0,22,0,0,0,0,28,0,0,11,107,0,10,334,870935,251,749675,21,27409,22,170074,43,197483,-1,-142665,208,552192,94,150325,83,121260,11,29065,933.2395191,12.19341285,165.5596569,3.091042453,412.4015034,4.795831523,387.7189704,9.746794345,348.2255017,9.16515139,10.27732439,2.48490665,0,0,0,145.5953296,2.48490665,78.8225856,2.397895273,412.4015034,4.795831523,11.64132747,4.060443011,0,0,9.129564062,1.609437912,7.512617545,0.693147181,10.21229491,2.397895273
 E48-01F,C,F,SHAM,D, Colin,257877,39418,0,104350,2247,5179,1015,40236,0,0,1300,87618,0,0,0,354946,0,5814,0,162,27,0,117,2,6,1,0,27,0,0,0,1,65,0,0,0,217,0,13,630,892574,448,700606,13,5814,28,41251,41,47065,-15,-35437,406,652241,190,199394,182,191968,8,7426,944.7618748,10.75930615,76.25614729,2.63905733,203.1058837,5.385164807,446.5366726,13.82027496,438.1426708,13.52774926,8.912877288,2.197224577,7.170888479,0.693147181,0,1,0,76.25614729,2.63905733,200.5916249,5.291502622,12.46024188,5.093750201,0,0,0,0,7.717796211,1.098612289,8.552560335,1.945910149
 E52-02F,T,F,SHAM,P, Colin,204931,152605,0,41458,0,8562,0,108703,0,0,0,75996,0,0,7623,294920,0,5202,0,115,57,0,53,0,4,0,0,56,1,0,0,0,38,0,0,4,178,0,9,511,891438,420,773984,13,12825,57,108703,70,121528,-44,-95878,350,652456,95,126016,91,117454,4,8562,944.1604736,11.7079082,113.2519316,2.63905733,329.7028966,7.615773106,354.9887322,9.797958971,342.7170845,9.591663047,9.055205875,1.609437912,0,0,0.693147181,87.31551981,1.609437912,72.13182377,2.302585093,329.7028966,7.549834435,12.2304335,4.753590191,0,0,0,0,0,0,9.055205875,1.609437912
 E53-01F,T,F,SHAM,E, Colin,298538,13847,21687,95088,1314,15011,0,43549,0,0,1282,218595,0,0,0,181368,0,9721,0,139,8,10,108,2,7,0,0,34,0,0,0,1,91,0,0,0,143,0,20,554,883675,345,548305,20,9721,34,43549,54,53270,-14,-33828,290,493753,218,351695,209,335370,9,16325,940.0404247,10.88314737,98.60020284,3.044522438,208.6863675,5.916079783,593.0396277,14.79864859,579.1122516,14.49137675,9.700514208,2.302585093,7.156956365,0.693147181,0,1,0,98.60020284,3.044522438,208.6863675,5.916079783,12.60665586,4.941642423,0,0,9.984514391,2.397895273,7.181591945,1.098612289,9.61660516,2.079441542
 E53-02F,T,F,SHAM,D, Colin,180402,79702,0,117294,0,37955,0,19202,0,0,0,169765,0,2846,24676,220980,0,47178,0,94,37,0,156,0,19,0,0,9,0,0,0,0,156,0,5,7,152,0,64,680,862045,363,572140,71,71854,9,19202,80,91056,62,52652,283,481084,336,327860,312,287059,19,37955,928.4643235,11.41924096,268.0578296,4.276666119,138.5748895,3.16227766,572.5914774,18.35755975,535.7798055,17.69180601,10.54418287,2.995732274,0,0,0,157.0891467,2.079441542,217.2072743,4.17438727,138.5748895,3.16227766,12.10294852,4.553876892,0,0,0,0,0,0,10.54418287,2.995732274
