Litter,Treatment,PlasmaT
8,C,0.058
9,C,0.062
10,C,0.036
11,C,0.056
12,T,0.039
13,T,0.05
14,T,0.056
15,C,0.035
16,T,0.041
17,T,0.057
18,T,0.039
20,T,0.067
21,C,0.041
22,T,0.045
23,T,0.06
24,T,0.042
25,T,0.042
26,C,0.029
27,C,0.039
28,C,0.052
29,C,0.043
32,C,0.053
33,C,0.04
34,C,0.03
35,C,0.035
36,T,0.047
37,T,0.039
39,T,0.033
40,T,0.053
41,T,0.044
42,T,0.087
43,T,0.055
44,C,0.06
45,C,0.045
47,C,0.038
48,C,0.05
50,T,0.054
52,T,0.051
53,T,0.048
