Subject,Treatment,Sex,Gonad,Estrus,Scorer,SniffAnoDur,SniffHeadDur,DigDur,ActiveHDur,InactiveDur,GroomDur,AvoidDur,SubDur,DefenseDur,OpenAggDur,RitAggDur,ActiveVDur,ApproachDur,StereoDur,DomDur,SniffBodyDur,InactiveTogetherDur,FollowDur,StretchEv,SniffAnoEv,SniffHeadEv,DigEv,ActiveHEv,InactiveEv,GroomEv,AvoidEv,AttackDelEv,SubEv,AttackRecEv,DefenseEv,OpenAggEv,RitAggEv,ActiveVEv,ApproachEv,StereoEv,DomEv,SniffBodyEv,InactiveTogetherEv,FollowEv
 E17-07F,T,F,PRE,NA, Colin,252027,78812,0,96379,10146,43574,0,51796,642,0,0,124155,0,0,4427,208959,3949,25134,3,101,46,0,87,6,22,0,0,14,0,1,0,0,48,0,0,1,120,2,33
 E17-09M,T,M,PRE,NA, Colin,164287,58628,0,106854,0,20705,378,6926,0,1278,6308,49724,0,0,215240,256493,0,13179,1,73,44,0,93,0,4,1,10,1,3,0,1,1,34,0,0,41,130,0,10
 E20-01M,T,M,PRE,NA, Colin,114902,97514,0,167474,7364,11329,661,17066,713,17122,23420,221716,0,0,51819,158921,0,9979,2,63,36,0,99,8,7,1,18,10,13,1,4,12,80,0,0,10,74,0,14
 E20-03F,T,F,PRE,NA, Colin,407659,45516,0,37089,2065,30988,0,44227,904,0,2517,6869,311,0,12058,290993,0,18723,1,138,26,0,38,1,5,0,0,24,0,1,0,2,5,1,0,2,134,0,31
 E20-05F,T,F,PRE,NA, Colin,143912,37020,5524,180418,3716,44567,0,5755,0,0,0,334893,2285,0,840,136036,0,5034,0,79,19,2,179,2,13,0,0,6,0,0,0,0,130,1,0,1,106,0,6
 E21-01F,C,F,PRE,NA, Colin,280101,52210,0,128870,3361,27115,0,32327,0,0,0,87981,0,0,480,269232,2816,15507,0,101,15,0,103,3,7,0,0,6,0,0,0,0,47,0,0,1,95,1,23
 E21-04M,C,M,PRE,NA, Colin,263289,51474,1488,137523,2237,22106,0,74424,0,0,0,99729,0,0,4128,216421,0,27181,0,104,23,1,111,2,6,0,0,14,2,0,0,0,55,0,0,1,103,0,38
 E21-07M,C,M,PRE,NA, Colin,152623,56690,0,129723,9340,47238,0,9080,0,0,0,137526,0,0,19536,322074,4853,11317,1,59,29,0,102,7,11,0,0,3,0,0,0,0,48,0,0,7,92,1,16
 E21-08F,C,F,PRE,NA, Colin,288421,92935,0,82240,0,21051,1240,42793,0,0,0,46066,327,0,17838,290485,0,16604,0,81,27,0,42,0,3,1,0,11,0,0,0,0,18,1,0,4,105,0,21
 E22-02F,T,F,PRE,NA, Colin,249804,102856,1017,45695,472,62568,4214,11758,0,0,0,50557,0,0,28448,322619,4119,15873,0,78,34,1,45,1,7,1,0,6,0,0,0,0,23,0,0,5,96,1,23
 E22-03M,T,M,PRE,NA, Colin,249063,47213,0,99977,2566,73003,0,14865,0,0,0,110388,287,0,13447,250644,0,38547,4,142,32,0,103,3,29,0,0,4,0,0,0,0,50,1,0,3,144,0,51
 E22-04F,T,F,PRE,NA, Colin,325773,38430,0,34468,0,11240,0,57516,0,0,0,13225,0,1713,10821,385951,0,20863,0,135,18,0,26,0,2,0,0,17,0,0,0,0,10,0,1,2,139,0,32
 E22-09M,T,M,PRE,NA, Colin,187323,139911,608,129488,1691,19525,0,31805,211,0,0,153071,0,0,35486,177075,10341,13218,0,80,23,1,113,1,7,0,0,13,0,1,0,0,62,0,0,8,84,1,22
 E23-04M,T,M,PRE,NA, Colin,181941,58263,6535,168536,0,9377,1823,5075,0,0,905,95281,0,0,61316,305252,0,5696,1,85,46,1,93,0,5,2,0,2,1,0,0,1,30,0,0,16,129,0,10
 E23-07M,T,M,PRE,NA, Colin,201195,70161,0,149316,1770,23226,0,5120,0,0,0,115756,0,0,33509,293223,0,6724,0,96,43,0,120,1,13,0,0,2,0,0,0,0,70,0,0,7,135,0,10
 E23-08F,T,F,PRE,NA, Colin,180781,46940,0,181089,0,9430,0,0,0,0,865,243658,0,0,5122,224187,0,7928,1,112,37,0,146,0,3,0,0,0,0,0,0,1,91,0,0,2,149,0,17
 E23-09F,T,F,PRE,NA, Colin,345781,129154,0,76194,0,26227,0,49602,0,0,0,63292,0,0,24090,173040,3728,8860,1,108,29,0,81,0,7,0,0,13,0,0,0,0,47,0,0,4,93,1,12
 E24-06M,T,M,PRE,NA, Colin,133897,107914,0,156252,7650,102355,5698,1128,2472,82183,30810,47160,0,0,8757,209227,0,4497,3,41,37,0,78,4,18,6,6,1,11,1,14,16,29,0,0,5,81,0,5
 E24-07M,T,M,PRE,NA, Colin,109491,75570,0,135872,9006,23699,30841,4607,0,8586,27428,236532,0,0,29985,199920,0,8463,2,66,47,0,110,4,13,2,6,2,2,0,3,7,71,0,0,18,110,0,10
