Subject,Treatment,Sex,Gonad,Estrus,Scorer,SniffAnoDur,SniffHeadDur,DigDur,ActiveHDur,InactiveDur,GroomDur,AvoidDur,SubDur,DefenseDur,OpenAggDur,RitAggDur,ActiveVDur,ApproachDur,StereoDur,DomDur,SniffBodyDur,InactiveTogetherDur,FollowDur,StretchEv,SniffAnoEv,SniffHeadEv,DigEv,ActiveHEv,InactiveEv,GroomEv,AvoidEv,AttackDelEv,SubEv,AttackRecEv,DefenseEv,OpenAggEv,RitAggEv,ActiveVEv,ApproachEv,StereoEv,DomEv,SniffBodyEv,InactiveTogetherEv,FollowEv
 E40-07F,T,F,PRE,NA, Colin,284391,47960,2446,198680,2255,7887,0,50012,0,0,0,84753,0,0,46416,170985,760,3455,0,128,30,3,158,1,8,0,0,28,1,0,0,0,61,0,0,8,132,1,8
 E40-08M,T,M,PRE,NA, Colin,124214,76549,9155,133392,1048,22300,1786,113390,0,0,0,111817,0,0,103678,194258,6894,1519,0,66,25,4,123,1,9,1,0,16,0,0,0,0,49,0,0,17,92,4,2
 E40-09M,T,M,PRE,NA, Colin,178109,111281,0,153191,5301,48963,490,47086,0,0,0,51105,0,0,73636,204588,25221,1029,0,97,40,0,150,2,24,1,0,10,0,0,0,0,42,0,0,12,119,8,2
 E41-03F,T,F,PRE,NA, Colin,276317,38846,0,61984,0,20247,0,317490,0,0,0,10746,0,0,584,169377,1728,2681,0,102,14,0,68,0,12,0,0,59,0,0,0,0,8,0,0,1,92,2,6
 E41-05M,T,M,PRE,NA, Colin,107441,50798,30474,195206,9147,20842,0,57344,0,0,0,131171,0,0,901,200298,94486,1892,0,80,32,14,199,6,14,0,0,23,0,0,0,0,89,0,0,1,113,8,2
 E41-06M,T,M,PRE,NA, Colin,228879,14133,0,174457,1114,44516,0,111640,0,0,0,84194,0,0,1907,234048,1182,3930,0,126,8,0,159,3,14,0,0,21,0,0,0,0,59,0,0,2,102,2,4
 E41-08F,T,F,PRE,NA, Colin,186431,40575,0,174509,806,50344,3522,15997,1746,0,18,150490,0,0,10754,247528,9922,7358,0,89,28,0,151,1,21,5,0,6,1,1,0,1,89,0,0,7,103,4,8
 E42-05M,T,M,PRE,NA, Colin,98675,30658,0,182523,42223,39563,0,96588,960,0,0,174209,0,0,2112,149187,77346,5956,0,56,15,0,131,17,12,0,0,18,1,1,0,0,69,0,0,1,69,11,6
 E42-06M,T,M,PRE,NA, Colin,116988,25479,0,234946,0,118678,0,27356,0,0,0,160943,0,0,3968,195827,15815,0,0,81,16,0,208,0,36,0,0,13,0,0,0,0,105,0,0,1,116,2,0
 E42-07M,T,M,PRE,NA, Colin,78151,113171,27977,122701,0,11817,0,251519,0,0,0,69016,0,0,8149,180282,31400,5817,0,39,45,7,110,0,7,0,0,32,0,0,0,0,48,0,0,3,100,5,5
 E42-08F,T,F,PRE,NA, Colin,378040,38254,0,91117,2971,10625,320,37756,147,0,0,37166,0,0,8405,278863,385,15951,0,179,21,0,117,2,8,1,0,20,0,1,0,0,28,0,0,8,160,1,21
 E43-03M,T,M,PRE,NA, Colin,113077,71484,3025,254159,0,14056,0,74371,1750,0,0,103799,0,0,3800,157138,98961,4380,0,75,38,3,170,0,16,0,0,17,1,1,0,0,72,0,0,1,90,3,4
 E43-04M,T,M,PRE,NA, Colin,98212,92421,1248,194456,28976,56606,1070,108640,1728,0,25049,35977,0,0,0,250644,4973,0,1,55,49,1,112,17,27,1,2,24,3,1,0,6,28,0,0,0,106,2,0
 E43-05M,T,M,PRE,NA, Colin,243212,25692,0,149522,0,20447,0,56962,0,0,38021,99093,0,0,24040,234527,1099,7385,0,114,14,0,118,0,8,0,0,10,0,0,0,11,46,0,0,7,113,1,5
 E43-07M,T,M,PRE,NA, Colin,208929,43268,3563,198146,618,51180,0,9208,0,0,5422,163954,0,0,31774,171902,3031,9005,0,93,25,1,189,1,18,0,0,5,0,0,0,1,84,0,0,7,117,1,10
 E43-08F,T,F,PRE,NA, Colin,284237,43618,5538,75919,0,14130,528,118270,0,0,0,69878,0,0,504,269229,5809,12340,0,124,25,3,85,0,5,1,0,26,5,0,0,0,33,0,0,1,137,1,14
 E44-01F,C,F,PRE,NA, Colin,322735,37257,0,89257,17346,22147,545,50518,0,0,0,89844,0,2423,0,246776,3383,17769,0,158,20,0,87,10,13,1,0,22,0,0,0,0,31,0,2,0,142,1,30
 E44-02F,C,F,PRE,NA, Colin,239902,118870,0,25749,0,48298,0,58238,0,0,0,8026,0,0,47758,340350,0,12809,2,124,68,0,26,0,9,0,0,25,1,0,0,0,7,0,0,23,193,0,25
 E44-04M,C,M,PRE,NA, Colin,175268,14719,5748,270651,0,35185,1191,98996,0,0,0,75779,0,0,0,197514,9819,15130,2,99,16,4,184,0,29,1,0,46,0,0,0,0,51,0,0,0,133,4,15
 E44-05M,C,M,PRE,NA, Colin,66347,49020,42046,276515,10955,56753,337,94388,546,0,0,176182,0,32,2176,104149,14225,6329,0,45,34,15,174,6,39,1,0,34,0,1,0,0,76,0,1,2,63,4,5
 E44-06M,C,M,PRE,NA, Colin,184190,11776,0,192389,66343,45456,0,87918,687,98392,0,51070,0,0,1344,142254,0,18181,0,109,11,0,169,15,30,0,1,42,4,2,7,0,41,0,0,1,105,0,25
 E45-01F,C,F,PRE,NA, Colin,273187,19958,0,108666,1158,45133,0,53907,0,0,0,152473,0,2486,5747,202304,2630,32351,0,165,17,0,104,1,18,0,0,40,0,0,0,0,62,0,2,4,148,2,53
 E45-03M,C,M,PRE,NA, Colin,163271,35376,639,161387,61969,99375,0,59631,616,0,0,114843,0,0,0,172823,14096,15715,3,57,26,1,96,20,33,0,0,16,0,1,0,0,53,0,0,0,69,1,7
 E45-04M,C,M,PRE,NA, Colin,123670,87115,0,123203,95853,108538,0,75250,0,0,0,77245,0,0,5724,187076,4598,11584,0,64,23,0,87,26,31,0,0,26,1,0,0,0,44,0,0,5,76,2,8
 E45-05M,C,M,PRE,NA, Colin,167344,34556,38083,294774,2290,107626,0,19817,0,0,785,66275,0,0,4510,141815,0,22125,3,76,29,16,135,2,41,0,0,14,0,0,0,1,39,0,0,2,83,0,13
 E46-01F,C,F,PRE,NA, Colin,135384,152049,0,75505,1093,57298,0,43726,0,0,0,13030,0,0,105705,303010,3446,9754,0,83,68,0,49,2,14,0,0,20,0,0,0,0,8,0,0,35,145,2,14
 E46-02F,C,F,PRE,NA, Colin,277073,22404,13313,83239,3744,17779,0,57279,0,0,0,111473,0,0,106089,197344,0,10263,0,143,20,8,91,3,10,0,0,39,3,0,0,0,50,0,0,26,155,0,22
 E46-03F,C,F,PRE,NA, Colin,336150,41421,0,98620,7851,104927,0,49245,0,0,1536,39928,0,0,7434,195888,3810,13190,0,152,17,0,92,5,35,0,0,28,0,0,0,1,19,0,0,6,151,2,21
 E46-04F,C,F,PRE,NA, Colin,197126,72811,0,92371,0,48620,0,147326,942,0,0,35286,0,0,12011,283809,5436,4262,0,141,46,0,89,0,16,0,0,64,0,2,0,0,25,0,0,7,193,5,7
 E46-09M,C,M,PRE,NA, Colin,230493,92790,523,62912,0,25999,0,11135,0,0,4230,13834,0,0,148278,293698,0,16108,0,146,81,1,50,0,13,0,0,11,0,0,0,3,11,0,0,78,231,0,26
 E47-04M,C,M,PRE,NA, Colin,176235,60063,0,116200,10324,40697,0,50096,0,0,0,214671,0,0,8677,192996,634,29407,0,95,30,0,113,7,11,0,0,20,0,0,0,0,78,0,0,3,101,1,35
 E47-05M,C,M,PRE,NA, Colin,102788,92296,5377,139565,15304,45606,2615,72997,0,0,0,190721,0,0,25074,186836,12570,8251,0,54,37,4,114,12,24,2,0,28,0,0,0,0,67,0,0,3,94,2,6
 E48-01F,C,F,PRE,NA, Colin,264927,77799,0,47979,3127,4532,0,123598,0,0,0,52058,0,600,7693,302707,2479,12501,0,179,43,0,55,3,3,0,0,75,1,0,0,0,26,0,1,9,242,1,20
 E48-02F,C,F,PRE,NA, Colin,232607,121132,0,33383,0,32788,0,211478,0,0,2831,24390,0,0,8471,203309,20690,8921,0,130,30,0,43,0,12,0,0,74,0,0,0,1,21,0,0,10,139,3,14
 E48-03F,C,F,PRE,NA, Colin,274254,9877,0,85199,0,14422,639,166353,0,0,0,98292,0,0,7320,226103,5367,12174,0,136,11,0,96,0,11,1,0,53,2,0,0,0,43,0,0,5,154,4,24
 E48-07M,C,M,PRE,NA, Colin,252333,14657,0,61849,914,99061,2455,123729,51,30414,33791,36782,0,6,53291,172820,825,17022,0,126,10,0,70,1,17,2,9,44,2,1,11,14,24,0,1,17,116,1,22
 E48-08M,C,M,PRE,NA, Colin,108530,24938,50770,167465,3032,27142,0,81264,575,0,0,205034,0,0,50032,162725,1001,17492,0,64,12,15,126,2,10,0,0,28,0,1,0,0,89,0,0,6,91,1,12
 E50-01F,T,F,PRE,NA, Colin,285853,19607,0,115657,909,35575,512,38102,0,0,1375,125198,0,0,0,237877,9240,29745,0,162,21,0,121,1,13,1,0,24,0,0,0,1,49,0,0,0,156,4,37
 E50-04M,T,M,PRE,NA, Colin,251620,27325,0,48500,23260,30361,985,17284,1600,112313,951,21666,0,0,132304,217251,1257,13323,0,101,15,0,32,3,12,1,12,10,2,1,25,2,10,0,0,43,112,1,14
 E50-05M,T,M,PRE,NA, Colin,10040,55326,0,167934,24539,53735,26465,63415,6581,23008,142339,243546,0,0,11475,71110,0,487,0,14,43,0,113,14,8,12,20,17,6,4,15,74,67,0,0,11,74,0,1
 E50-06M,T,M,PRE,NA, Colin,63780,83126,24078,67814,5774,15891,0,38638,0,0,2223,214194,0,339,142249,131942,109664,288,0,37,43,9,67,2,7,0,9,17,0,0,0,2,74,0,1,36,85,4,1
 E50-07M,T,M,PRE,NA, Colin,145262,51200,0,80126,880,21482,0,93742,0,0,9742,88269,0,0,160999,236535,0,11763,0,99,31,0,78,1,14,0,2,36,0,0,0,3,49,0,0,59,176,0,16
 E53-01F,T,F,PRE,NA, Colin,152731,64720,11610,138255,1712,41741,0,71308,0,0,0,194857,0,0,5436,186821,24904,5905,0,82,32,7,129,1,23,0,0,18,1,0,0,0,84,0,0,2,100,1,11
 E51-06M,T,M,PRE,NA, Colin,147221,79982,7501,97250,0,17384,0,12162,0,0,1934,296807,0,0,62171,176552,0,1036,0,81,61,6,101,0,9,0,0,12,1,0,0,3,101,0,0,23,137,0,3
 E51-08M,T,M,PRE,NA, Colin,145253,96416,13884,83356,1157,15926,1455,50693,0,0,0,261611,0,0,3384,216581,0,10284,0,99,58,7,102,2,5,1,0,24,1,0,0,0,96,0,0,4,152,0,16
 E52-02F,T,F,PRE,NA, Colin,191523,48634,0,104318,0,18004,1079,125996,0,0,0,107136,0,566,19243,280133,1400,1968,0,144,44,0,130,0,5,2,0,80,0,0,0,0,69,0,1,7,209,1,4
 E52-03M,T,M,PRE,NA, Colin,91912,88803,0,109225,3384,24946,0,17008,0,0,6358,113464,0,0,323404,118908,0,2588,0,50,43,0,68,1,10,0,62,7,0,0,0,4,36,0,0,41,79,0,4
 E53-01F,T,F,PRE,NA, Colin,353770,37193,5999,79315,0,3868,0,13541,0,0,0,113435,0,0,34036,234265,0,24578,0,166,20,3,91,0,4,0,0,11,0,0,0,0,55,0,0,12,174,0,37
 E53-02F,T,F,PRE,NA, Colin,202398,18663,3587,144175,18146,90340,0,24639,0,0,0,136297,0,0,823,184230,6405,70297,0,117,14,2,142,13,16,0,0,10,0,0,0,0,148,0,0,3,130,4,119
 E53-07M,T,M,PRE,NA, Colin,233711,21085,0,158903,2026,21947,5820,114600,513,0,0,80803,0,0,936,231616,7392,20648,0,155,15,0,160,1,14,5,0,57,0,1,0,0,63,0,0,1,159,5,30
 E53-08M,T,M,PRE,NA, Colin,175837,41938,1226,192808,1715,14247,3385,42303,0,0,0,241946,0,0,10790,166225,0,7580,0,99,19,1,181,2,7,3,0,16,0,0,0,0,143,0,0,3,117,0,12
 E8-03F,C,F,PRE,NA, Colin,172037,22659,41131,224275,0,40142,0,583,0,0,0,85352,1237,128390,680,174422,0,9092,7,63,16,11,109,0,12,0,0,1,0,0,0,0,48,2,10,1,76,0,10
 E8-05Fb,C,F,PRE,NA, Colin,354533,55772,0,97825,0,23389,0,20681,0,0,0,51341,0,0,7062,281978,0,7419,0,106,47,0,80,0,9,0,1,9,9,0,0,0,42,0,0,2,143,0,11
 E8-07Mb,C,M,PRE,NA, Colin,211388,92226,0,140545,0,11505,0,12801,120,0,6419,136076,0,0,58087,214203,0,16630,1,89,50,0,130,0,4,0,0,7,0,1,0,2,76,0,0,6,120,0,19
 E8-14M,C,M,PRE,NA, Colin,187354,87469,2200,137719,0,9399,0,4745,0,0,0,228350,0,0,8931,228324,0,5509,1,60,32,1,108,0,8,0,0,4,0,0,0,0,78,0,0,1,83,0,5
 E9-01Mb,C,M,PRE,NA, Colin,131357,41994,2072,231104,39535,61685,0,21285,0,0,0,224028,0,0,0,127847,3359,15734,18,62,26,1,158,24,13,0,0,7,0,0,0,0,86,0,0,0,66,3,14
 E9-04M,C,M,PRE,NA, Colin,227867,89015,0,125279,0,26118,0,25234,0,0,5281,162854,401,0,0,224821,1840,11290,2,83,38,0,104,0,12,0,0,4,1,0,0,2,90,1,0,0,93,1,10
 E9-05F,C,F,PRE,NA, Colin,141689,83571,0,57000,0,31054,0,240518,0,0,0,40664,0,0,31267,259228,1721,13288,0,59,47,0,39,0,10,0,0,30,0,0,0,0,21,0,0,4,99,2,11
 E9-09M,C,M,PRE,NA, Colin,233159,79308,3276,241529,3130,47183,512,928,210,0,0,109714,0,0,10527,144014,0,26510,11,114,36,2,160,1,25,1,0,1,0,1,0,0,64,0,0,2,105,0,33
 E47-01F,C,F,GDX,NA, Colin,383143,19801,0,68328,0,17565,381,114476,0,0,0,56051,0,0,0,228306,0,11949,0,149,18,0,76,0,9,1,0,45,0,0,0,0,23,0,0,0,139,0,23
 E51-08M,T,M,REP,NA, Colin,79048,137793,34114,98724,0,68085,888,18111,0,0,0,221715,0,0,32650,207017,0,1855,0,45,65,15,104,0,33,1,0,11,0,0,0,0,77,0,0,9,106,0,3
 E10-02F,C,F,REP,NA, Colin,130836,103954,0,17061,0,3420,0,96251,0,0,708,18892,0,0,0,528582,0,296,0,91,66,0,13,0,2,0,0,32,7,0,0,1,9,0,0,0,171,0,1
 E10-10F,C,F,REP,NA, Colin,179345,185949,0,10804,3120,1319,0,52874,0,0,0,0,0,0,0,464565,0,2024,0,90,62,0,9,1,1,0,0,19,4,0,0,0,0,0,0,0,134,0,3
 E11-01F,C,F,SHAM,D,Colin,271314,61174,0,16757,0,14564,0,171022,0,0,0,16237,0,0,3146,337128,8210,463,1,89,22,0,17,0,1,0,0,38,2,0,0,0,8,0,0,3,118,2,1
 E11-03F,C,F,SHAM,E, Colin,292702,67662,0,46951,0,11520,405,58842,0,0,0,76860,0,0,0,338972,0,6086,0,97,32,0,55,0,3,1,0,21,7,0,0,0,45,0,0,0,130,0,10
 E11-03M,C,M,GDX,NA, Colin,142900,111097,0,108499,3595,50342,0,178279,0,0,0,40465,0,0,0,183048,78774,3001,0,55,26,0,74,3,9,0,0,15,2,0,0,0,23,0,0,0,66,9,4
 E11-11F,C,F,REP,NA, Colin,168241,131771,0,31262,936,8322,0,71699,0,0,0,95167,0,0,0,391596,0,1006,0,100,73,0,48,1,3,0,0,31,2,0,0,0,46,0,0,0,178,0,2
 E12-03F,T,F,REP,NA, Colin,306681,138579,0,30225,5791,0,0,99836,0,0,0,15755,0,0,0,299401,0,3732,0,87,36,0,21,2,0,0,0,14,6,0,0,0,15,0,0,0,121,0,5
 E12-07F,T,F,GDX,NA, Colin,336026,108506,0,57846,10550,14965,0,37204,0,0,0,65048,0,0,0,263423,0,6432,0,84,26,0,60,8,4,0,0,9,0,0,0,0,40,0,0,0,100,0,8
 E12-03F,T,F,REP,NA, Colin,167979,81366,5730,108510,29478,27012,0,21252,0,0,0,104900,0,0,99643,249330,0,4800,0,64,28,1,73,15,5,0,0,4,1,0,0,0,54,0,0,4,82,0,7
 E16-02aF,T,F,SHAM,E, Colin,253034,121520,0,57739,3422,51761,0,57815,0,0,0,43218,0,0,19877,269821,20670,1123,0,93,44,0,49,5,11,0,0,12,5,0,0,0,28,0,0,4,126,1,2
 E13-02F,T,F,REP,NA, Colin,325295,57714,0,39217,899,1282,0,76287,0,0,0,6176,0,0,0,324748,50188,18194,0,83,22,0,30,1,1,0,0,10,0,0,0,0,8,0,0,0,97,3,20
 E13-02M,T,M,REP,NA, Colin,94330,207429,0,140886,12136,20326,0,9849,0,3999,31583,46224,0,0,78311,229178,0,25749,0,58,52,0,90,4,10,0,22,3,1,0,3,4,23,0,0,17,92,0,23
 E13-03F,T,F,SHAM,D, Colin,236167,97391,0,45773,0,10308,0,56485,0,0,0,56455,0,0,0,388934,2548,5939,0,82,31,0,47,0,3,0,0,12,1,0,0,0,27,0,0,0,108,1,9
 E13-05F,T,F,REP,NA, Colin,240000,145798,0,36922,2584,6817,568,45492,0,0,0,41531,0,0,3343,370214,0,6731,0,97,61,0,48,1,4,1,0,17,5,0,0,0,20,0,0,2,145,0,12
 E14-11M,T,M,REP,NA, Colin,206730,145784,0,85415,48452,48782,0,31562,0,0,0,70320,0,0,0,229925,3472,29558,4,57,27,0,53,22,9,0,0,6,0,0,0,0,19,0,0,0,53,1,24
 E14-12F,T,F,SHAM,P, Colin,127758,164864,0,18532,0,23420,0,154414,0,0,0,26860,0,0,568,379740,3488,356,0,75,69,0,17,0,6,0,0,40,1,0,0,0,13,0,0,1,147,1,1
 E14-14F,T,F,REP,NA, Colin,338249,53017,0,21150,0,0,0,204212,0,0,0,7308,0,0,0,263345,0,12719,0,80,14,0,20,0,0,0,0,29,0,0,0,0,4,0,0,0,91,0,14
 E15-03F,C,F,REP,NA, Colin,286469,17621,0,61893,113664,87794,33876,20456,81490,0,15744,14138,0,0,0,158598,0,8257,0,44,10,0,25,22,8,4,1,6,33,7,0,4,7,0,0,0,42,0,7
 E15-08F,C,F,GDX,NA, Colin,253123,107649,0,52571,2619,129318,0,49662,0,0,0,35750,0,0,30632,223378,0,15298,0,81,31,0,43,2,13,0,0,10,0,0,0,0,16,0,0,5,103,0,16
 E16-02aF,T,F,SHAM,E, Colin,246461,169628,0,60391,0,10135,760,25634,0,0,0,43548,0,0,5059,325631,9418,3335,0,132,75,0,80,0,2,1,0,12,1,0,0,0,39,0,0,3,191,1,6
 E16-12F,T,F,GDX,NA, Colin,153534,114197,0,92667,0,16897,0,43651,0,0,0,136551,0,0,5169,337334,0,0,0,81,54,0,100,0,3,0,0,18,2,0,0,0,73,0,0,1,155,0,0
 E16-16M,T,M,SHAM,NA, Colin,202550,86597,0,104465,0,22983,0,92766,0,0,0,77827,0,0,38134,240705,0,33973,1,82,50,0,82,0,7,0,0,8,0,0,0,0,45,0,0,7,116,0,33
 E17-01F,T,F,REP,NA, Colin,221571,109035,0,86279,0,41026,0,96794,0,0,154,85076,0,0,5239,254109,0,717,0,80,55,0,80,0,11,0,0,26,2,0,0,1,50,0,0,4,145,0,2
 E17-03F,T,F,GDX,NA, Colin,237594,115557,0,35934,456,30493,0,13005,0,0,0,44528,0,0,14631,372650,32917,2235,0,69,38,0,40,1,4,0,0,10,2,0,0,0,27,0,0,5,110,2,5
 E17-04M,T,M,SHAM,NA, Colin,167234,104444,0,93178,0,16971,25,4690,0,1233,2990,54437,0,0,175134,271991,0,6680,1,76,75,0,81,0,4,1,16,5,3,0,1,2,30,0,0,70,148,0,6
 E17-07F,T,F,SHAM,M, Colin,257290,47198,0,91657,0,10593,0,41920,0,0,0,160791,0,0,18008,271910,0,633,0,88,28,0,86,0,4,0,0,17,4,0,0,0,64,0,0,3,113,0,1
 E17-09M,T,M,REP,NA, Colin,104299,173690,0,69396,1791,24458,0,0,0,0,8996,145961,0,952,34678,327514,0,8265,1,43,64,0,62,1,7,0,27,0,1,0,0,2,43,0,1,8,118,0,6
 E18-01F,T,F,GDX,NA, Colin,245187,98469,0,39355,0,32105,0,74441,0,0,0,72008,0,0,1474,333098,0,3863,0,99,36,0,45,0,7,0,0,15,0,0,0,0,28,0,0,1,133,0,5
 E16-02aF,T,F,GDX,NA, Colin,233584,58088,0,63582,0,13174,0,144982,0,0,0,114305,0,0,605,237510,27556,6614,0,83,19,0,61,0,4,0,0,9,4,0,0,0,43,0,0,1,92,1,12
 E18-10F,T,F,SHAM,E, Colin,232432,103093,7144,85860,3382,14707,0,21220,0,0,0,99564,0,0,0,306570,0,26028,0,77,31,1,76,2,2,0,0,6,0,0,0,0,33,0,0,0,98,0,31
 E20-02F,T,F,REP,NA, Colin,310656,144796,0,38751,3992,14690,0,4416,0,0,0,13610,0,0,0,340672,13800,14617,0,107,33,0,40,2,3,0,1,2,3,0,0,0,9,0,0,0,125,3,21
 E20-04F,T,F,SHAM,E, Colin,116399,112915,0,150195,12803,13971,0,35490,0,0,0,136153,0,0,0,258770,59389,3915,0,67,34,0,106,5,6,0,0,9,2,0,0,0,66,0,0,0,104,8,5
 E20-06F,T,F,GDX,NA, Colin,239589,35488,9158,86214,0,3417,0,157117,0,0,0,75265,0,0,0,233790,51382,8580,0,98,21,3,81,0,1,0,0,7,0,0,0,0,54,0,0,0,103,8,13
 E20-07F,T,F,REP,NA, Colin,477536,26572,0,18951,2906,2663,55,41807,752,0,0,16613,0,0,0,296340,0,15805,0,135,22,0,26,1,2,1,0,14,8,1,0,0,10,0,0,0,130,0,22
 E20-09F,T,F,REP,NA, Colin,286046,97660,1073,41733,4051,2445,0,81540,0,0,0,60210,0,0,0,274368,38785,12089,0,102,39,1,45,2,2,0,0,11,0,0,0,0,35,0,0,0,121,3,21
 E21-02F,C,F,SHAM,P, Colin,303029,65056,0,57353,1303,14815,0,46760,0,0,0,80470,0,0,3312,312085,3359,12458,0,93,29,0,72,1,3,0,0,7,1,0,0,0,30,0,0,2,106,1,19
 E21-03M,C,M,GDX,NA, Colin,229086,48843,0,201588,78508,43075,0,10012,0,0,0,42114,0,0,8338,210031,8803,19602,0,96,19,0,146,28,10,0,0,5,0,0,0,0,32,0,0,2,91,2,18
 E21-05F,C,F,GDX,NA, Colin,152616,87760,0,52821,3313,11653,0,50230,0,0,0,19094,0,0,17662,357507,130487,16857,0,72,24,0,43,3,2,0,0,7,0,0,0,0,6,0,0,2,94,10,16
 E22-06M,T,M,GDX,NA, Colin,189408,88473,3810,105253,9544,26626,1,7028,0,0,0,103798,0,0,0,352280,0,13779,0,88,51,1,88,8,6,1,0,5,0,0,0,0,52,0,0,0,130,0,21
 E22-07M,T,M,SHAM,NA, Colin,200096,100950,0,73998,0,18773,0,3449,0,941,2284,181655,0,0,40481,263401,0,13972,0,113,41,0,92,0,8,0,11,1,0,0,1,2,84,0,0,10,146,0,22
 E22-13F,T,F,SHAM,E, Colin,281274,53925,0,56259,1911,0,0,221277,0,0,0,49131,0,0,8439,161291,52898,13595,0,68,19,0,50,2,0,0,0,23,0,0,0,0,22,0,0,1,75,13,17
 E23-03M,T,M,SHAM,NA, Colin,87849,125180,14084,184989,1321,12694,1808,4562,3317,1870,34373,202787,0,0,0,220776,0,4390,3,56,76,7,151,1,5,2,20,1,7,1,2,11,118,0,0,0,141,0,5
 E23-05F,T,F,GDX,NA, Colin,265828,61714,0,46934,1359,4622,0,165906,0,0,424,14939,0,0,1049,301625,31372,4228,0,98,23,0,36,1,1,0,0,12,0,0,0,1,13,0,0,1,120,3,6
 E23-07M,T,M,REP,NA, Colin,150285,67973,30200,135435,920,18402,0,4385,0,0,0,244320,0,0,39121,200459,0,8500,1,78,41,9,126,1,10,0,6,2,2,0,0,0,117,0,0,15,122,0,10
 E24-06M,T,M,SHAM,NA, Colin,49365,121359,0,112288,23485,24695,0,0,0,9968,10081,349338,0,4550,10880,162450,0,21541,0,26,51,0,101,9,6,0,71,0,0,0,5,5,99,0,1,2,73,0,11
 E24-10F,T,F,SHAM,M, Colin,92637,53945,0,94545,0,16405,0,62840,0,0,0,215301,0,0,0,308441,53882,2004,0,59,25,0,88,0,3,0,0,3,2,0,0,0,66,0,0,0,104,4,4
 E24-11F,T,F,SHAM,E, Colin,136137,119820,0,52698,2745,10738,0,70170,0,0,0,57333,0,0,5237,430164,11526,3432,0,56,47,0,40,1,2,0,0,10,0,0,0,0,37,0,0,1,106,2,6
 E23-07M,T,M,REP,NA, Colin,74346,77104,0,114738,12984,13140,0,21473,8133,0,5843,337637,0,0,0,223370,0,11232,0,38,50,0,128,11,6,0,0,6,1,2,0,2,111,0,0,0,98,0,14
 E24-14F,T,F,GDX,NA, Colin,202530,63435,0,118247,0,1421,0,1080,0,0,0,131957,0,0,61192,316318,0,3820,0,90,33,0,103,0,1,0,0,1,0,0,0,0,57,0,0,4,109,0,5
 E25-04F,T,F,REP,NA, Colin,84580,136885,1973,83729,3101,21561,0,7626,0,0,0,221020,0,0,33621,259502,41478,4924,0,70,62,1,68,2,10,0,0,5,0,0,0,0,57,0,0,10,128,3,7
 E25-05M,T,M,GDX,NA, Colin,152142,120220,1334,144075,16444,23953,0,11309,0,0,0,192498,0,454,0,234622,654,2295,1,69,40,1,129,8,11,0,0,4,0,0,0,0,94,0,1,0,112,1,3
 E25-07M,T,M,SHAM,NA, Colin,73244,133871,528,107321,0,26034,0,81098,0,0,0,203803,0,0,688,268857,0,4505,0,56,57,1,125,0,8,0,0,6,0,0,0,0,115,0,0,1,128,0,8
 E26-01F,C,F,GDX,NA, Colin,132024,59194,1936,50645,0,9553,0,250065,0,0,0,40049,0,0,0,334491,11893,10150,0,83,38,1,49,0,1,0,0,26,1,0,0,0,25,0,0,0,134,2,13
 E26-03M,C,M,SHAM,NA, Colin,216066,63125,9454,152732,4124,8413,0,9379,0,0,658,197097,0,0,41207,175568,18723,3454,0,58,30,6,121,3,2,0,2,4,3,0,0,1,96,0,0,9,86,2,5
 E26-05M,C,M,GDX,NA, Colin,51711,77212,17062,115127,69225,29375,0,18145,202,0,0,100028,0,0,0,227672,192327,1914,0,26,19,3,81,17,11,0,0,5,0,1,0,0,56,0,0,0,53,10,3
 E26-08M,C,M,SHAM,NA, Colin,150458,49782,1199,82987,5207,16108,0,13841,0,0,0,101865,0,0,8835,341332,123818,4568,0,49,15,1,67,2,5,0,0,4,0,0,0,0,41,0,0,1,73,9,7
 E27-02M,C,M,SHAM,NA, Colin,59251,47533,0,97341,0,13467,0,0,0,2350,4544,169487,0,347701,53938,80760,0,23628,0,25,23,0,110,0,3,0,21,0,2,0,1,2,99,0,30,9,51,0,3
 E27-09M,C,M,SHAM,NA, Colin,132951,80724,64652,109680,3671,26452,0,4886,0,0,0,207474,0,0,88193,174528,0,6789,0,44,43,16,96,3,10,0,5,2,0,0,0,0,93,0,0,11,96,0,10
 E28-01F,C,F,SHAM,E, Colin,343993,29615,0,40580,0,11717,0,216247,0,0,1444,9889,0,0,1062,228816,1650,14987,0,156,12,0,70,0,2,0,0,50,0,0,0,1,12,0,0,2,140,2,31
 E28-02F,C,F,GDX,NA, Colin,70170,126545,0,85812,0,13394,0,71040,1,0,0,178028,0,0,63495,284949,0,6566,0,59,88,0,97,0,6,0,0,36,0,1,0,0,93,0,0,24,148,0,9
 E28-03F,C,F,REP,NA, Colin,192906,113607,0,51435,0,17868,0,182614,849,0,0,51862,0,0,7497,275097,0,6265,0,122,62,0,62,0,3,0,0,46,0,1,0,0,28,0,0,5,163,0,16
 E28-06M,C,M,REP,NA, Colin,107859,102708,33788,115576,0,34319,0,84588,55,0,0,215999,0,0,20941,179329,0,4838,0,68,46,14,122,0,15,0,0,16,0,1,0,0,68,0,0,13,100,0,7
 E28-07F,C,F,SHAM,P, Colin,220502,97009,1918,99348,0,10646,0,24910,0,0,0,125115,0,32,93707,215558,0,11255,0,118,51,1,123,0,5,0,0,16,0,0,0,0,65,0,1,36,161,0,20
