Subject,Treatment,Sex,GonadState,Scorer,SniffAnoDur,SniffHeadDur,DigDur,ActiveHDur,InactiveDur,GroomDur,AvoidDur,SubDur,DefenseDur,OpenAggDur,RitAggDur,ActiveVDur,ApproachDur,StereoDur,DomDur,SniffBodyDur,InactiveTogetherDur,FollowDur,StretchEv,SniffAnoEv,SniffHeadEv,DigEv,ActiveHEv,InactiveEv,GroomEv,AvoidEv,AttackDelEv,SubEv,AttackRecEv,DefenseEv,OpenAggEv,RitAggEv,ActiveVEv,ApproachEv,StereoEv,DomEv,SniffBodyEv,InactiveTogetherEv,FollowEv
 E40-06M,D,M,REP, Colin,106332,103113,5527,146100,2317,20775,0,37101,0,0,36256,116332,0,0,94506,224963,0,6678,0,69,62,4,154,1,6,0,31,15,0,0,0,14,79,0,0,27,136,0,10
 E40-08M,D,M,GDX, Colin,99613,116252,1008,101088,19964,45480,0,19996,0,0,0,100092,0,0,88415,277055,26071,4966,0,47,50,1,91,12,15,0,0,10,0,0,0,0,51,0,0,25,116,10,5
 E40-09M,D,M,SHAM, Colin,86678,193530,3644,89854,0,2017,0,9735,0,0,0,179859,0,0,140859,188038,0,5786,0,39,71,2,93,0,3,0,0,2,0,0,0,0,79,0,0,35,107,0,10
 E41-03F,D,F,REP, Colin,228672,63458,0,35227,1424,3258,0,204135,0,0,0,5302,0,0,29279,324431,0,4814,0,106,28,0,60,1,3,0,0,33,0,0,0,0,8,0,0,5,136,0,10
 E41-05M,D,M,GDX, Colin,136548,169413,440,72303,973,15531,0,4142,0,1047,33882,27296,0,0,35408,393871,0,9146,0,78,83,1,96,2,5,0,21,4,1,0,1,12,19,0,0,19,174,0,16
 E41-07M,D,M,GDX, Colin,141555,139645,0,96008,656,15528,0,82804,0,0,1443,77428,0,0,26808,276676,35615,5834,0,80,57,0,93,1,8,0,0,22,0,0,0,1,40,0,0,14,117,9,5
 E41-08F,D,F,GDX, Colin,161846,86711,0,105500,0,25589,0,24744,0,0,0,130821,0,0,69461,292378,0,2950,0,110,48,0,122,0,13,0,0,16,0,0,0,0,59,0,0,27,167,0,6
 E42-05M,D,M,SHAM, Colin,104580,180713,1968,100635,0,2394,0,62373,736,0,0,181121,0,0,24695,214193,21755,4837,0,64,73,1,107,0,4,0,0,29,0,1,0,0,77,0,0,14,139,7,9
 E42-06M,D,M,GDX, Colin,113707,41087,616,99650,10821,35726,0,136746,0,0,0,247383,0,0,66800,140559,3307,3598,0,52,24,1,90,7,14,0,0,27,0,0,0,0,70,0,0,11,84,1,6
 E42-07M,D,M,REP, Colin,193217,105659,5232,152671,0,15996,0,97963,0,0,0,85160,0,0,38246,200298,0,5558,0,120,67,1,170,0,7,0,1,61,0,0,0,0,51,0,0,16,181,0,11
 E42-08F,D,F,REP, Colin,71608,215633,0,23709,0,12973,0,313538,535,0,0,19771,0,0,49521,184358,4366,3988,0,42,71,0,29,0,8,0,0,37,0,1,0,0,15,0,0,20,107,1,6
 E43-03M,D,M,SHAM, Colin,68123,83504,20593,156962,0,292779,0,19787,0,0,1408,97382,0,0,17012,126667,12315,3468,0,48,58,10,147,0,64,0,3,12,0,0,0,1,51,0,0,11,99,2,4
 E43-04M,D,M,REP, Colin,143279,144851,0,148308,0,29792,0,14091,0,0,26496,112151,0,0,13997,260904,0,6131,0,85,50,0,150,0,18,0,6,11,4,0,0,3,66,0,0,8,118,0,15
 E43-05M,D,M,SHAM, Colin,55637,109911,2870,201845,0,108799,0,0,0,2016,46739,278886,0,0,8861,73703,0,10733,0,27,68,2,217,0,34,0,41,0,0,0,2,29,126,0,0,7,55,0,6
 E43-07M,D,M,GDX, Colin,227091,85332,0,93396,3776,7383,408,37904,0,0,0,43482,0,0,115396,265243,7400,13189,0,104,39,0,74,3,5,1,0,20,0,0,0,0,16,0,0,27,137,1,18
 E43-08F,D,F,GDX, Colin,143934,228969,0,45309,0,2206,0,58681,688,0,786,16980,0,808,80100,316618,0,4921,0,66,69,0,53,0,2,0,0,18,0,1,0,1,12,0,1,15,132,0,8
 E44-01F,C,F,REP, Colin,222177,69362,0,28839,1313,19461,0,119288,0,0,0,25911,0,0,23877,383554,0,6218,0,119,42,0,29,1,5,0,0,58,0,0,0,0,11,0,0,7,168,0,13
 E44-02F,C,F,REP, Colin,75552,167327,0,27896,0,72124,0,120961,0,0,0,5891,0,0,34019,391287,0,4943,0,53,81,0,28,0,12,0,0,44,0,0,0,0,7,0,0,17,156,0,7
 E44-04M,C,M,GDX, Colin,145413,97289,0,120434,0,38088,0,140430,0,0,0,42203,0,0,27053,287351,0,1739,0,121,85,0,129,0,21,0,0,55,0,0,0,0,37,0,0,9,206,0,4
 E44-05M,C,M,GDX, Colin,137417,66346,17025,172679,7962,46886,0,42272,0,0,0,165205,0,0,0,225782,0,18426,0,91,47,11,150,4,31,0,0,22,0,0,0,0,64,0,0,0,118,0,24
 E45-01F,C,F,REP, Colin,320817,47760,0,35806,965,15968,0,173116,0,0,0,62096,0,0,1114,229855,2220,10283,0,161,32,0,41,2,2,0,0,72,0,0,0,0,31,0,0,2,176,1,14
 E45-03M,C,M,SHAM, Colin,113821,96996,1488,137841,20950,47977,0,18613,0,0,0,221750,0,0,27119,212061,0,1384,0,71,55,1,126,5,18,0,0,11,0,0,0,0,103,0,0,13,120,0,3
 E45-04M,C,M,GDX, Colin,91763,97852,0,133608,30684,63713,0,143758,0,0,0,116739,0,0,3469,206892,4553,6969,0,45,48,0,102,20,25,0,0,42,0,0,0,0,55,0,0,2,95,1,9
 E45-05M,C,M,REP, Colin,99336,123049,0,70458,17217,27731,0,74857,0,1288,4545,115730,0,0,69763,261485,29711,4830,0,61,53,0,63,6,9,0,18,28,0,0,1,3,51,0,0,17,114,4,9
 E46-01F,C,F,SHAM, Colin,113700,83501,9223,52479,1830,27235,0,170074,0,0,0,59558,0,0,21197,354991,0,6212,0,57,44,4,51,1,10,0,0,22,0,0,0,0,28,0,0,11,107,0,10
 E46-02F,C,F,GDX, Colin,219607,42770,6701,64294,0,12191,0,203455,0,0,610,82587,0,1106,45741,217193,447,3298,0,122,23,6,79,0,8,0,0,54,0,0,0,1,46,0,1,9,139,1,8
 E46-03F,C,F,REP, Colin,488294,16919,0,28588,1047,1308,0,51572,0,0,0,10663,0,1535,763,294988,0,4323,0,187,13,0,28,2,2,0,0,26,2,0,0,0,3,0,2,2,185,0,10
 E46-04F,C,F,REP, Colin,148024,68893,0,107377,910,127235,0,112403,0,0,0,69558,0,0,5801,255102,0,4697,1,94,44,0,112,1,34,0,0,16,0,0,0,0,40,0,0,4,148,0,12
 E46-09M,C,M,REP, Colin,126581,118820,480,121249,2192,35689,10,21991,512,3852,88931,72992,0,0,70633,232066,0,4002,0,76,58,1,95,1,22,1,24,12,0,1,4,17,45,0,0,25,149,0,7
 E47-04M,C,M,SHAM, Colin,100527,92729,16015,177480,0,34770,0,28791,0,0,0,267061,0,0,14600,160635,0,7392,0,69,58,4,165,0,16,0,0,18,0,0,0,0,130,0,0,4,114,0,8
 E47-05M,C,M,GDX, Colin,80339,72124,0,183525,81087,40777,0,62488,409,0,0,190803,0,0,6516,162244,13370,6318,0,55,38,0,157,24,21,0,0,24,0,1,0,0,92,0,0,3,83,3,7
 E48-01F,C,F,SHAM, Colin,257877,39418,0,104350,2247,5179,1015,40236,0,0,1300,87618,0,0,0,354946,0,5814,0,162,27,0,117,2,6,1,0,27,0,0,0,1,65,0,0,0,217,0,13
 E48-03F,C,F,REP, Colin,180709,135785,0,44957,0,14055,0,86319,0,0,943,40908,0,0,16685,364382,0,15257,0,138,62,0,46,0,5,0,0,48,0,0,0,2,21,0,0,3,179,0,19
 E48-07M,C,M,GDX, Colin,135638,84359,0,86465,0,28630,0,53932,0,0,0,117638,0,0,87497,293862,7265,4714,0,92,49,0,97,0,11,0,1,25,0,0,0,0,61,0,0,18,157,3,6
 E48-08M,C,M,SHAM, Colin,111774,66968,31508,81335,0,28438,0,23953,0,0,0,178850,0,0,129540,242538,0,5096,0,70,51,7,85,0,11,0,7,14,0,0,0,0,57,0,0,34,126,0,11
 E50-01F,D,F,REP, Colin,249928,12899,0,91777,0,12492,0,78425,0,0,0,164584,0,0,0,286545,0,3350,0,186,10,0,113,0,9,0,0,57,0,0,0,0,74,0,0,0,200,0,6
 E50-04M,D,M,SHAM, Colin,60828,198470,15242,130282,0,68853,0,24138,0,0,38803,186068,0,0,39461,136685,0,1170,0,29,91,2,126,0,37,0,17,17,0,0,0,16,89,0,0,18,96,0,2
 E50-05M,D,M,REP, Colin,61651,132456,0,186418,0,101503,0,11212,1112,8235,62124,204408,0,0,13491,104685,0,12705,2,33,63,0,116,0,23,0,27,6,1,1,4,31,106,0,0,10,74,0,8
 E50-06M,D,M,REP, Colin,173471,114186,887,149331,0,21400,0,42675,0,0,683,72709,0,0,38970,281044,0,4644,0,117,77,2,137,0,20,0,6,35,0,0,0,1,47,0,0,14,208,0,7
 E50-07M,D,M,SHAM, Colin,39990,157361,0,94928,0,49362,0,21359,0,0,0,236730,0,0,99263,199530,0,1477,0,35,82,0,119,0,19,0,15,17,0,0,0,0,104,0,0,47,143,0,3
 E51-01F,D,F,REP, Colin,268668,68009,0,49707,5264,36029,0,28509,0,0,1066,53760,0,1415,0,376831,0,10742,0,118,32,0,54,4,19,0,0,16,0,0,0,1,31,0,2,0,145,0,16
 E51-06M,D,M,SHAM, Colin,70605,108675,10710,94994,2369,29087,792,39301,1903,4587,24996,218322,0,0,42642,245169,0,5848,0,60,68,6,97,2,21,1,29,13,2,1,2,12,105,0,0,19,129,0,7
 E51-07M,D,M,REP, Colin,64001,162370,1873,100179,1231,31344,0,47310,2756,0,11629,249287,0,0,6679,208264,7448,5629,0,62,75,1,94,1,16,0,6,19,0,1,0,6,101,0,0,5,135,1,6
 E52-02F,D,F,SHAM, Colin,204931,152605,0,41458,0,8562,0,108703,0,0,0,75996,0,0,7623,294920,0,5202,0,115,57,0,53,0,4,0,0,56,1,0,0,0,38,0,0,4,178,0,9
 E52-03M,D,M,GDX, Colin,210628,41562,9774,118093,1263,30317,0,36339,0,0,0,249265,0,0,416,181629,1176,19538,0,110,32,5,105,1,21,0,0,17,1,0,0,0,71,0,0,1,113,1,22
 E53-01F,D,F,SHAM, Colin,298538,13847,21687,95088,1314,15011,0,43549,0,0,1282,218595,0,0,0,181368,0,9721,0,139,8,10,108,2,7,0,0,34,0,0,0,1,91,0,0,0,143,0,20
 E53-02F,D,F,SHAM, Colin,180402,79702,0,117294,0,37955,0,19202,0,0,0,169765,0,2846,24676,220980,0,47178,0,94,37,0,156,0,19,0,0,9,0,0,0,0,156,0,5,7,152,0,64
 E8-03F,C,F,REP, Colin,277429,91812,0,40657,0,6977,0,119589,0,0,3356,22951,0,0,30432,301350,0,5447,0,96,44,0,35,0,3,0,1,35,1,0,0,1,17,0,0,9,147,0,4
 E8-05Fb,C,F,GDX, Colin,279721,75974,680,84869,2033,1790,0,51427,2326,0,0,106775,0,0,25762,243128,0,25515,0,98,29,1,78,1,2,0,0,5,1,1,0,0,45,0,0,3,113,0,29
 E8-07Mb,C,M,GDX, Colin,105823,64402,2148,104052,130316,9307,1542,94370,0,0,0,119771,0,0,21238,165435,69354,12242,1,44,22,1,89,19,7,1,0,12,0,0,0,0,49,0,0,1,59,4,15
 E9-09M,C,M,SHAM, Colin,85535,68362,0,100659,9650,21312,0,129293,0,0,0,126639,0,0,0,227257,127986,3307,1,34,25,0,84,4,9,0,0,7,0,0,0,0,57,0,0,0,58,3,3
 E9-04M,C,M,REP, Colin,217915,105797,0,101924,0,2389,0,30747,0,0,0,88993,0,0,8644,306159,9761,27671,1,88,42,0,98,0,2,0,1,6,0,0,0,0,55,0,0,1,96,3,26
 E9-08F,C,F,SHAM, Colin,317192,50642,0,19324,0,19158,0,83523,0,0,1126,10215,0,0,0,371240,0,27580,0,111,19,0,18,0,4,0,0,21,1,0,0,1,3,0,0,0,112,0,37
 E9-09M,C,M,GDX, Colin,161953,50567,0,152450,31098,41792,0,14531,0,0,0,84924,0,0,0,353662,0,9023,6,64,23,0,87,7,13,0,0,2,0,0,0,0,33,0,0,0,93,0,9
