Subject,Treatment,Sex,GonadState,Scorer,SniffAnoDur,SniffHeadDur,DigDur,ActiveHDur,InactiveDur,GroomDur,AvoidDur,SubDur,DefenseDur,OpenAggDur,RitAggDur,ActiveVDur,ApproachDur,StereoDur,DomDur,SniffBodyDur,InactiveTogetherDur,FollowDur,StretchEv,SniffAnoEv,SniffHeadEv,DigEv,ActiveHEv,InactiveEv,GroomEv,AvoidEv,AttackDelEv,SubEv,AttackRecEv,DefenseEv,OpenAggEv,RitAggEv,ActiveVEv,ApproachEv,StereoEv,DomEv,SniffBodyEv,InactiveTogetherEv,FollowEv
 E17-07F,D,F,SHAM, Colin,257290,47198,0,91657,0,10593,0,41920,0,0,0,160791,0,0,18008,271910,0,633,0,88,28,0,86,0,4,0,0,17,4,0,0,0,64,0,0,3,113,0,1
 E17-09M,D,M,REP, Colin,104299,173690,0,69396,1791,24458,0,0,0,0,8996,145961,0,952,34678,327514,0,8265,1,43,64,0,62,1,7,0,27,0,1,0,0,2,43,0,1,8,118,0,6
 E18-01F,D,F,GDX, Colin,245187,98469,0,39355,0,32105,0,74441,0,0,0,72008,0,0,1474,333098,0,3863,0,99,36,0,45,0,7,0,0,15,0,0,0,0,28,0,0,1,133,0,5
 E16-02aF,D,F,GDX, Colin,233584,58088,0,63582,0,13174,0,144982,0,0,0,114305,0,0,605,237510,27556,6614,0,83,19,0,61,0,4,0,0,9,4,0,0,0,43,0,0,1,92,1,12
 E18-10F,D,F,SHAM, Colin,232432,103093,7144,85860,3382,14707,0,21220,0,0,0,99564,0,0,0,306570,0,26028,0,77,31,1,76,2,2,0,0,6,0,0,0,0,33,0,0,0,98,0,31
 E20-02F,D,F,REP, Colin,310656,144796,0,38751,3992,14690,0,4416,0,0,0,13610,0,0,0,340672,13800,14617,0,107,33,0,40,2,3,0,1,2,3,0,0,0,9,0,0,0,125,3,21
 E20-04F,D,F,SHAM, Colin,116399,112915,0,150195,12803,13971,0,35490,0,0,0,136153,0,0,0,258770,59389,3915,0,67,34,0,106,5,6,0,0,9,2,0,0,0,66,0,0,0,104,8,5
 E20-06F,D,F,GDX, Colin,239589,35488,9158,86214,0,3417,0,157117,0,0,0,75265,0,0,0,233790,51382,8580,0,98,21,3,81,0,1,0,0,7,0,0,0,0,54,0,0,0,103,8,13
 E20-07F,D,F,REP, Colin,477536,26572,0,18951,2906,2663,55,41807,752,0,0,16613,0,0,0,296340,0,15805,0,135,22,0,26,1,2,1,0,14,8,1,0,0,10,0,0,0,130,0,22
 E20-09F,D,F,REP, Colin,286046,97660,1073,41733,4051,2445,0,81540,0,0,0,60210,0,0,0,274368,38785,12089,0,102,39,1,45,2,2,0,0,11,0,0,0,0,35,0,0,0,121,3,21
 E21-02F,C,F,SHAM, Colin,303029,65056,0,57353,1303,14815,0,46760,0,0,0,80470,0,0,3312,312085,3359,12458,0,93,29,0,72,1,3,0,0,7,1,0,0,0,30,0,0,2,106,1,19
 E21-03M,C,M,GDX, Colin,229086,48843,0,201588,78508,43075,0,10012,0,0,0,42114,0,0,8338,210031,8803,19602,0,96,19,0,146,28,10,0,0,5,0,0,0,0,32,0,0,2,91,2,18
 E21-05F,C,F,GDX, Colin,152616,87760,0,52821,3313,11653,0,50230,0,0,0,19094,0,0,17662,357507,130487,16857,0,72,24,0,43,3,2,0,0,7,0,0,0,0,6,0,0,2,94,10,16
 E22-06M,D,M,GDX, Colin,189408,88473,3810,105253,9544,26626,1,7028,0,0,0,103798,0,0,0,352280,0,13779,0,88,51,1,88,8,6,1,0,5,0,0,0,0,52,0,0,0,130,0,21
 E22-07M,D,M,SHAM, Colin,200096,100950,0,73998,0,18773,0,3449,0,941,2284,181655,0,0,40481,263401,0,13972,0,113,41,0,92,0,8,0,11,1,0,0,1,2,84,0,0,10,146,0,22
 E22-13F,D,F,SHAM, Colin,281274,53925,0,56259,1911,0,0,221277,0,0,0,49131,0,0,8439,161291,52898,13595,0,68,19,0,50,2,0,0,0,23,0,0,0,0,22,0,0,1,75,13,17
 E23-03M,D,M,SHAM, Colin,87849,125180,14084,184989,1321,12694,1808,4562,3317,1870,34373,202787,0,0,0,220776,0,4390,3,56,76,7,151,1,5,2,20,1,7,1,2,11,118,0,0,0,141,0,5
 E23-05F,D,F,GDX, Colin,265828,61714,0,46934,1359,4622,0,165906,0,0,424,14939,0,0,1049,301625,31372,4228,0,98,23,0,36,1,1,0,0,12,0,0,0,1,13,0,0,1,120,3,6
 E23-07M,D,M,REP, Colin,150285,67973,30200,135435,920,18402,0,4385,0,0,0,244320,0,0,39121,200459,0,8500,1,78,41,9,126,1,10,0,6,2,2,0,0,0,117,0,0,15,122,0,10
 E24-06M,D,M,SHAM, Colin,49365,121359,0,112288,23485,24695,0,0,0,9968,10081,349338,0,4550,10880,162450,0,21541,0,26,51,0,101,9,6,0,71,0,0,0,5,5,99,0,1,2,73,0,11
 E24-10F,D,F,SHAM, Colin,92637,53945,0,94545,0,16405,0,62840,0,0,0,215301,0,0,0,308441,53882,2004,0,59,25,0,88,0,3,0,0,3,2,0,0,0,66,0,0,0,104,4,4
 E24-11F,D,F,SHAM, Colin,136137,119820,0,52698,2745,10738,0,70170,0,0,0,57333,0,0,5237,430164,11526,3432,0,56,47,0,40,1,2,0,0,10,0,0,0,0,37,0,0,1,106,2,6
 E23-07M,D,M,REP, Colin,74346,77104,0,114738,12984,13140,0,21473,8133,0,5843,337637,0,0,0,223370,0,11232,0,38,50,0,128,11,6,0,0,6,1,2,0,2,111,0,0,0,98,0,14
 E24-14F,D,F,GDX, Colin,202530,63435,0,118247,0,1421,0,1080,0,0,0,131957,0,0,61192,316318,0,3820,0,90,33,0,103,0,1,0,0,1,0,0,0,0,57,0,0,4,109,0,5
 E25-04F,D,F,REP, Colin,84580,136885,1973,83729,3101,21561,0,7626,0,0,0,221020,0,0,33621,259502,41478,4924,0,70,62,1,68,2,10,0,0,5,0,0,0,0,57,0,0,10,128,3,7
 E25-05M,D,M,GDX, Colin,152142,120220,1334,144075,16444,23953,0,11309,0,0,0,192498,0,454,0,234622,654,2295,1,69,40,1,129,8,11,0,0,4,0,0,0,0,94,0,1,0,112,1,3
 E25-07M,D,M,SHAM, Colin,73244,133871,528,107321,0,26034,0,81098,0,0,0,203803,0,0,688,268857,0,4505,0,56,57,1,125,0,8,0,0,6,0,0,0,0,115,0,0,1,128,0,8
