Subject,Treatment,Sex,Gonad,Scorer,SniffAnoDur,SniffHeadDur,DigDur,ActiveHDur,InactiveDur,GroomDur,AvoidDur,SubDur,DefenseDur,OpenAggDur,RitAggDur,ActiveVDur,ApproachDur,StereoDur,DomDur,SniffBodyDur,InactiveTogetherDur,FollowDur,StretchEv,SniffAnoEv,SniffHeadEv,DigEv,ActiveHEv,InactiveEv,GroomEv,AvoidEv,AttackDelEv,SubEv,AttackRecEv,DefenseEv,OpenAggEv,RitAggEv,ActiveVEv,ApproachEv,StereoEv,DomEv,SniffBodyEv,InactiveTogetherEv,FollowEv
 E24-13M,T,M,PRE,Colin,166886,117771,0,236480,18639,309899,2148,114449,984,0,0,282982,0,0,84470,375618,83351,6323,3,82,84,0,187,10,44,3,3,17,3,1,0,0,95,0,0,30,176,5,5
 E24-14F,T,F,PRE,Colin,113934,164312,5755,289900,8852,317566,0,25095,0,0,0,491285,0,11038,28973,237085,99672,6533,1,70,47,5,234,4,36,0,0,3,0,0,0,0,209,0,6,8,119,23,11
 E24-15M,T,M,PRE,Colin,116608,188241,0,201050,6990,610993,391,0,688,72534,100809,144425,0,0,76452,235528,27307,17984,1,37,49,0,127,1,35,1,76,0,7,1,19,26,69,0,0,30,85,6,8
 E25-02F,T,F,PRE,Colin,184216,266884,0,262011,23449,403040,1059,52998,0,0,2684,152869,0,3365,10669,381560,40288,14908,1,116,114,0,204,16,51,1,0,18,1,0,0,2,100,0,3,9,214,9,19
 E25-04F,T,F,PRE,Colin,127825,220273,0,115606,0,381737,585,10791,0,0,0,95874,0,2536,87117,508000,240295,9361,0,50,33,0,82,0,47,1,1,5,0,0,0,0,46,0,2,17,95,14,15
 E25-05M,T,M,PRE,Colin,123714,92241,0,189233,8099,667625,0,0,0,0,0,249393,0,0,28801,358087,74032,8775,0,49,26,0,155,4,42,0,0,0,0,0,0,0,98,0,0,4,85,4,6
 E25-06M,T,M,PRE,Colin,108533,226431,0,101966,3621,261244,0,519,0,0,0,52128,0,0,81514,269836,690061,4147,0,36,34,0,65,2,27,0,13,1,1,0,0,0,20,0,0,13,61,6,7
 E25-07M,T,M,PRE,Colin,54832,348617,0,115378,26872,341781,5210,121355,0,16909,67552,47977,0,14,28268,254963,348289,21983,0,28,72,0,70,16,38,4,9,29,24,0,4,15,25,0,1,5,74,32,13
 E25-08F,T,F,PRE,Colin,170359,67492,12957,256589,15088,713746,1130,30224,0,0,0,314783,0,0,0,181437,31851,4344,0,65,42,6,178,6,74,2,0,9,0,0,0,0,106,0,0,0,99,4,5
 E26-01F,C,F,PRE,Colin,65520,146490,3828,224611,2418,588407,0,3835,0,0,4206,322840,0,0,12050,416821,0,8333,0,34,41,3,147,2,32,0,0,3,0,0,0,5,109,0,0,8,95,0,8
 E26-02F,C,F,PRE,Colin,112957,284528,0,68561,0,287437,1016,4362,0,0,0,27382,0,0,379200,293257,332766,8534,0,51,52,0,50,0,22,1,0,3,0,0,0,0,13,0,0,25,79,12,13
 E26-03M,C,M,PRE,Colin,92408,183550,40391,241585,1434,386467,874,68841,0,18248,180722,136661,0,0,56054,288997,85585,18183,0,41,65,11,160,1,54,1,62,17,2,0,9,42,84,0,0,28,118,7,14
 E26-04F,C,F,PRE,Colin,126062,29228,29456,335420,0,522947,0,0,625,0,0,449195,0,0,58454,144280,88086,16247,0,44,18,5,190,0,42,0,0,0,0,1,0,0,130,0,0,6,78,6,14
 E26-05M,C,M,PRE,Colin,103086,114978,68610,182786,9713,520841,0,7275,0,0,0,217559,0,0,331758,162418,73986,6990,0,42,46,20,138,5,44,0,50,3,0,0,0,0,88,0,0,33,73,6,7
 E26-07M,C,M,PRE,Colin,139456,166691,0,142635,24974,197548,0,195576,817,6293,52973,104803,0,0,46077,155800,559542,4308,0,48,49,0,94,16,30,0,15,8,5,1,3,24,48,0,0,13,69,8,9
 E27-02M,C,M,PRE,Colin,92545,110868,0,206343,40646,601115,0,238855,0,0,0,97294,0,0,1825,120462,281652,8395,0,40,39,0,109,15,49,0,0,23,0,0,0,0,54,0,0,1,63,20,10
 E27-03M,C,M,PRE,Colin,121448,154863,85078,266611,12206,218911,0,0,663,27447,46053,368902,0,0,88377,312678,84226,12537,0,62,51,14,206,5,35,0,15,0,2,2,4,12,134,0,0,23,102,6,11
 E27-04M,C,M,PRE,Colin,117205,157493,48453,262477,1302,343132,0,4624,0,12885,102085,426038,0,0,126640,172032,0,25634,1,27,55,16,150,1,31,0,123,2,6,0,4,22,94,0,0,28,68,0,9
 E27-06M,C,M,PRE,Colin,76215,189242,0,222327,34915,465569,52436,73926,10413,40064,88000,143298,0,0,19947,257148,124021,2479,1,29,59,0,132,10,62,17,6,15,84,4,6,23,55,0,0,8,80,11,4
 E27-08F,C,F,PRE,Colin,136861,165312,19889,142108,6710,338139,725,242148,0,0,790,208150,0,0,31183,371821,121911,14253,0,84,59,10,118,3,50,1,0,17,0,0,0,1,66,0,0,5,122,9,21
 E27-09M,C,M,PRE,Colin,109297,135768,22594,283816,21449,380166,0,10079,2695,2191,13938,142017,0,0,299271,349498,14949,12272,1,51,63,5,159,8,41,0,17,4,0,3,1,8,107,0,0,56,135,5,7
 E1-01,T,M,PRE,Colin,10156,92305,0,158500,57678,970823,42367,3908,174725,47948,95220,117464,0,0,0,28906,0,0,0,2,38,0,65,17,59,18,2,2,46,44,10,35,32,0,0,0,13,0,0
 E3-05,T,M,PRE,Colin,13050,139895,8176,377423,11193,607526,0,32943,2929,69621,94392,267313,0,0,13733,161806,0,0,2,10,63,3,142,3,47,0,11,5,4,2,16,35,90,0,0,2,50,0,0
 E3-07,T,M,PRE,Colin,43563,194781,1383,349718,8199,809527,0,12498,619,0,0,196315,520,0,5183,171517,4567,1610,0,28,52,2,190,3,53,0,0,4,1,1,0,0,101,1,0,2,70,2,2
 E4-01,C,F,PRE,Colin,100817,73391,6169,269278,9063,477882,0,149054,3121,0,7895,474313,0,0,408,193552,27661,7396,2,46,34,4,146,1,45,0,0,10,0,1,0,2,82,0,0,1,64,3,4
 E4-03,C,F,PRE,Colin,74529,101040,14495,379970,776,482247,0,127198,0,0,0,441894,0,0,1251,173206,0,3394,2,37,32,9,189,1,76,0,0,4,0,0,0,0,103,0,0,1,61,0,2
 E4-05,C,F,PRE,Colin,182328,64625,4335,320716,0,549488,0,57261,0,0,894,393206,0,0,0,224954,0,2193,0,66,23,3,221,0,61,0,0,7,0,0,0,2,123,0,0,0,71,0,2
 E44-01F,C,F,PRE,Colin,170900,101376,0,128135,48991,400244,0,35524,0,0,0,75743,0,39,412041,263021,153988,9766,1,83,46,0,140,9,67,0,1,9,0,0,0,0,36,0,1,58,130,58,15
 E44-03F,C,F,PRE,Colin,138374,166480,0,134737,24224,453424,0,3789,0,0,0,121213,0,0,231224,211015,307005,8361,1,66,41,0,137,8,86,0,0,3,0,0,0,0,51,0,0,30,94,57,5
 E44-04M,C,M,PRE,Colin,59148,90577,0,84313,4605,184580,0,4140,909,0,0,34740,0,0,136475,51456,1139873,8731,2,36,16,0,79,2,34,0,0,3,0,1,0,0,23,0,0,11,27,25,7
 E44-05M,C,M,PRE,Colin,82272,142748,0,115927,1557,313704,0,0,0,0,0,60681,0,0,205818,116150,759912,576,0,40,41,0,104,2,51,0,0,0,0,0,0,0,22,0,0,23,61,25,1
 E44-06M,C,M,PRE,Colin,217767,35171,1042,91847,0,137356,0,0,782,0,0,44412,0,956,590506,223568,443549,12362,2,86,21,1,94,0,55,0,2,0,0,1,0,0,25,0,1,44,90,36,14
 E44-07M,C,M,PRE,Colin,134871,53964,1197,47163,0,161730,0,3206,0,0,0,9720,0,0,170682,115954,1089167,12058,0,51,13,1,47,0,18,0,0,2,0,0,0,0,8,0,0,19,45,35,12
 E44-08M,C,M,PRE,Colin,141129,82434,0,134903,3167,323024,0,287572,0,0,0,276348,0,0,202363,212265,121417,14837,0,76,34,0,140,3,55,0,0,18,0,0,0,0,79,0,0,29,103,37,14
 E45-02F,C,F,PRE,Colin,26113,14078,0,331534,8399,1160158,0,38703,0,0,0,157608,0,0,28241,31904,0,0,0,10,3,0,49,1,21,0,0,4,0,0,0,0,34,0,0,4,9,0,0
 E45-04M,C,M,PRE,Colin,52865,63776,0,81679,4013,279930,0,73653,0,0,0,41525,0,0,184528,129340,845477,23681,2,33,22,0,64,4,53,0,0,8,0,0,0,0,23,0,0,19,51,39,11
 E45-05M,C,M,PRE,Colin,137358,44162,0,41894,100085,482598,0,91237,0,0,1596,5458,0,0,108054,106770,665551,14982,1,44,18,0,42,4,46,0,0,13,0,0,0,1,6,0,0,19,40,50,15
 E45-06M,C,M,PRE,Colin,356523,112238,0,171455,7,398567,0,20574,0,0,0,130851,0,2148,145751,378928,52305,30508,0,89,21,0,144,1,53,0,0,1,0,0,0,0,46,0,2,17,93,7,20
 E45-07M,C,M,PRE,Colin,185844,101098,0,132068,148894,472329,1355,24889,0,0,0,41013,0,1200,143194,148736,390587,7524,0,87,36,0,133,20,74,1,0,7,0,0,0,0,23,0,1,28,111,63,6
 E45-08M,C,M,PRE,Colin,168336,85866,0,112379,1819,354546,0,18816,0,37275,29436,8549,0,0,172613,169371,626842,12765,1,53,36,0,73,2,38,0,9,5,0,0,3,8,10,0,0,32,80,20,8
 E46-01F,C,F,PRE,Anthony,48969,19403,760,412347,911,776400,0,12857,0,0,0,337510,0,0,120363,68040,0,0,0,17,9,1,121,1,37,0,0,3,0,0,0,0,88,0,0,10,19,0,0
 E46-02F,C,F,PRE,Anthony,252153,49900,0,149430,309307,514971,0,64215,0,0,0,36256,0,0,124397,118832,179536,0,0,32,4,0,35,12,21,0,0,6,0,0,0,0,13,0,0,9,19,2,0
 E46-03F,C,F,PRE,Anthony,207688,26612,0,263100,267371,450285,0,17930,0,0,152,93450,0,0,232754,228266,10587,0,0,39,4,0,74,4,25,0,1,5,0,0,0,1,38,0,0,23,27,2,0
 E46-04F,C,F,PRE,Colin,203573,309934,0,179777,1781,133056,0,2082,0,0,0,189831,0,1426,287069,318749,164861,7627,0,100,125,0,183,3,42,0,0,2,0,0,0,0,89,0,1,70,218,40,12
 E46-05M,C,M,PRE,Colin,51960,319779,0,82329,0,269903,456,17321,0,0,0,220660,0,0,290892,250475,292337,3249,1,20,62,0,107,0,60,1,0,5,1,0,0,0,63,0,0,45,97,56,3
 E46-06F,C,F,PRE,Colin,107911,212711,0,56816,14505,513649,10,4809,0,0,0,70087,0,0,544014,136149,129251,9527,0,63,30,0,77,2,55,1,0,3,0,0,0,0,20,0,0,48,72,22,17
 E46-08F,C,F,PRE,Anthony,73028,3005,0,145151,23662,1418020,0,10328,0,0,0,11356,0,0,28167,84956,0,0,0,16,2,0,37,2,20,0,0,4,0,0,0,0,9,0,0,6,22,0,0
 E46-09M,C,M,PRE,Colin,163701,137801,0,108893,0,219298,0,4887,0,0,0,274687,0,578,387585,261150,229701,11113,0,57,42,0,108,0,31,0,0,2,0,0,0,0,46,0,1,42,100,23,12
 E47-02F,C,F,PRE,Anthony,81091,31052,0,547706,165725,330856,0,220300,0,0,0,216306,0,0,50652,116424,38601,0,0,23,5,0,142,30,32,0,0,30,0,0,0,0,91,0,0,11,22,2,0
 E47-03F,C,F,PRE,Anthony,73709,36251,0,434126,446844,370637,0,84481,0,0,0,128871,0,0,80451,138559,3504,0,0,25,3,0,99,22,37,0,0,9,0,0,0,0,48,0,0,11,33,1,0
 E47-01F,C,F,PRE,Anthony,216959,4857,0,432055,2360,765690,0,90549,0,0,0,61603,0,0,24362,140544,58137,0,0,49,2,0,89,2,24,0,0,16,0,0,0,0,29,0,0,4,25,4,0
 E47-07M,C,M,PRE,Colin,176340,121175,0,171821,1068,243320,0,0,955,5670,82048,206349,0,0,138514,186215,455294,10939,2,48,50,0,157,1,37,0,58,0,0,1,7,31,60,0,0,23,97,21,8
 E47-08M,C,M,PRE,Colin,166421,116759,0,198471,372,396192,0,1299,0,0,9061,469687,0,0,154156,215070,51872,19515,0,62,35,0,190,1,79,0,0,1,1,0,0,1,118,0,0,11,89,14,20
 E48-02F,C,F,PRE,Colin,279818,35655,0,118610,0,71731,0,240270,0,0,0,5347,0,0,53940,321785,653305,19130,0,122,21,0,84,0,8,0,0,16,0,0,0,0,6,0,0,13,131,32,20
 E48-05F,C,F,PRE,Colin,143583,91161,0,152112,0,418435,574,489,0,0,0,264528,0,7563,284579,291096,126991,18519,0,83,49,0,160,0,34,1,1,1,0,0,0,0,94,0,4,45,154,17,24
 E48-06F,C,F,PRE,Colin,287762,60809,435,90795,75130,155455,0,8356,0,0,0,106825,0,0,274915,403582,320502,14708,3,125,36,1,119,11,37,0,0,2,0,0,0,0,36,0,0,40,154,50,20
 E48-08M,C,M,PRE,Colin,60908,120908,0,40708,342566,230522,0,13419,0,0,0,37657,0,0,174930,45138,717656,15282,0,12,22,0,47,20,31,0,0,1,0,0,0,0,14,0,0,16,28,33,5
 E50-01F,T,F,PRE,Colin,181944,97881,651,146470,56826,361410,0,111684,0,0,2940,162117,0,0,32693,332765,289908,21426,3,92,52,1,162,11,59,0,0,18,0,0,0,1,66,0,0,7,145,54,18
 E50-02F,T,F,PRE,Colin,169688,71005,2054,227932,11005,469308,0,24818,0,0,0,360326,0,0,62239,298106,62053,40971,5,83,47,1,251,4,97,0,1,8,0,0,0,0,147,0,0,12,154,28,26
 E50-03M,T,M,PRE,Colin,87093,110687,0,116684,432,792925,0,2220,0,0,0,283495,0,6367,208999,105033,75505,10133,0,48,49,0,127,1,66,0,1,2,0,0,0,0,84,0,2,32,84,22,11
 E50-04M,T,M,PRE,Colin,143456,75372,0,74580,465,474171,0,12833,0,0,0,55626,0,0,281922,136260,524076,21041,0,67,31,0,74,1,51,0,0,4,0,0,0,0,28,0,0,27,67,32,24
 E50-05M,T,M,PRE,Colin,114038,121973,0,47001,0,237665,0,16947,0,0,0,17460,0,0,270720,195795,760419,17777,3,50,27,0,45,0,27,0,0,5,0,0,0,0,14,0,0,24,66,21,17
 E50-06M,T,M,PRE,Colin,82654,120738,0,103107,226488,379640,0,0,0,1438,36915,38101,0,0,383084,218263,196389,12663,0,42,61,0,99,21,31,0,67,0,0,0,1,16,23,0,0,47,86,30,10
 E50-07M,T,M,PRE,Colin,129602,155278,0,84645,284994,284186,0,17051,851,0,29583,50262,0,0,393439,146796,210598,12558,3,74,68,0,107,17,55,0,20,4,0,1,0,13,25,0,0,61,96,32,16
 E50-08M,T,M,PRE,Colin,84497,120993,0,118226,9129,265685,0,14511,0,0,0,37837,0,0,332626,122776,683183,10242,0,54,32,0,110,4,59,0,0,2,0,0,0,0,22,0,0,21,78,26,10
 E5-03,T,F,PRE,Colin,204280,134808,7558,258223,12572,376908,0,28636,0,0,1592,457465,0,0,139077,169233,2959,6689,0,42,52,2,143,5,35,0,3,3,1,0,0,2,113,0,0,27,55,1,6
 E5-04,T,M,PRE,Colin,44113,78903,75349,417078,23440,599587,0,0,0,191074,66314,256662,0,0,608,46872,0,0,0,12,56,32,198,8,39,0,41,0,6,0,39,34,107,0,0,1,32,0,0
 E5-05,T,F,PRE,Colin,342982,134382,815,271118,1091,253619,0,43736,0,0,5957,378450,0,0,25161,303349,0,39340,0,55,44,1,144,1,26,0,3,6,0,0,0,1,99,0,0,11,68,0,25
 E5-06,T,M,PRE,Colin,19064,16502,26912,376981,7658,499876,1200,0,0,235711,473485,98151,2488,0,17645,12637,0,11690,1,1,15,5,96,3,36,1,52,0,14,0,55,91,35,1,0,7,7,0,11
 E5-07,T,M,PRE,Colin,18039,71786,0,236651,59031,740793,55628,94073,42875,24967,368235,39953,0,0,12045,32029,0,3895,1,5,30,0,73,20,41,23,12,12,56,9,9,48,19,0,0,6,19,0,3
 E5-08,T,M,PRE,Colin,163947,141550,2845,304584,41087,359096,0,39490,0,17022,23788,377418,1250,0,133702,169162,13303,11756,0,41,40,3,121,3,26,0,71,2,10,0,5,16,90,1,0,14,59,1,8
 E51-02F,T,F,PRE,Anthony,163206,74935,0,548905,84125,364733,0,179844,0,0,1425,234664,0,0,4080,108897,30485,0,0,27,5,0,96,10,19,0,0,22,0,0,0,1,53,0,0,3,19,2,0
 E51-05M,T,F,PRE,Anthony,76386,76743,0,232524,639286,188811,0,4486,0,0,0,72350,0,0,35673,154909,318040,0,0,28,14,0,75,7,15,0,0,2,0,0,0,0,31,0,0,5,28,1,0
 E51-06M,T,M,PRE,Anthony,214851,145541,15902,375511,86895,358350,536,17419,0,5433,107649,208609,0,0,29507,232346,0,0,0,44,30,3,100,6,22,1,0,5,1,0,5,14,49,0,0,6,61,0,0
 E51-07M,T,M,PRE,Anthony,56341,135025,13576,591625,114675,281483,0,12823,0,217354,45950,168138,0,0,2817,122839,35065,0,0,8,12,2,96,14,20,0,0,1,0,0,31,24,35,0,0,1,18,2,0
 E51-08M,T,M,PRE,Anthony,147701,395480,0,412378,3391,218970,0,11234,0,32901,5309,406531,0,0,59247,105093,0,0,0,31,42,0,111,1,15,0,0,2,0,0,2,1,63,0,0,8,33,0,0
 E51-04M,T,M,PRE,Colin,63452,118088,50399,204286,4346,316900,0,0,0,0,7110,604455,0,504,175121,132177,110728,10367,0,42,51,14,241,5,78,0,44,0,0,0,0,2,143,0,1,27,85,19,7
 E52-03M,T,M,PRE,Colin,45535,62619,2250,97831,57263,412855,0,1308,77999,0,55478,189712,0,0,103895,157020,535075,962,0,18,33,1,83,9,34,0,3,1,2,27,0,17,30,0,0,18,77,31,1
 E52-04M,T,M,PRE,Colin,40883,202721,0,117143,40730,484623,0,26237,22,4760,93515,135953,0,0,228024,133850,290189,1092,0,20,75,0,79,13,42,0,36,4,1,1,4,33,33,0,0,19,77,28,1
 E53-07M,T,M,PRE,Anthony,94646,53754,7121,404848,4272,214271,0,5346,0,1872,17594,103555,0,0,56721,176685,629321,27918,0,30,10,3,101,2,21,0,0,2,0,0,1,3,42,0,0,12,37,3,6
 E53-08M,T,M,PRE,Anthony,85711,97148,1710,299222,438257,507377,0,11168,0,0,0,138058,0,0,77376,97918,41901,0,0,18,9,2,76,5,25,0,0,1,0,0,0,0,42,0,0,9,17,4,0
 E53-01F,T,F,PRE,Colin,175831,147478,0,85670,1370,151249,0,260373,0,0,0,55038,0,0,96222,154079,660251,12334,2,87,40,0,89,1,23,0,0,25,0,0,0,0,25,0,0,16,83,43,20
 E53-02F,T,F,PRE,Colin,83770,153057,0,102526,78851,448180,2937,77710,0,0,402,61537,0,0,269377,200106,308288,12650,5,47,69,0,114,12,48,1,0,10,0,0,0,1,34,0,0,36,110,66,8
 E53-03F,T,F,PRE,Colin,276596,171771,0,165587,2027,151017,0,19141,0,0,0,98006,382,0,287802,443101,173105,11275,1,170,115,0,211,2,51,0,1,3,0,0,0,0,38,1,0,81,271,40,16
 E53-05M,T,M,PRE,Colin,114608,179691,0,74038,191762,155200,0,30741,0,0,1080,72463,0,0,313967,93014,563993,7654,0,50,45,0,78,16,44,0,40,8,0,0,0,1,21,0,0,31,61,40,11
 E53-06M,T,M,PRE,Colin,195213,104244,2148,105269,79377,376623,0,2073,0,0,0,190992,0,1083,258537,216529,258438,8931,1,85,43,1,135,4,48,0,9,2,0,0,0,0,80,0,1,44,114,32,15
 E6-03,T,F,PRE,Colin,37130,89828,4207,459713,2944,633450,0,0,0,0,0,272035,0,0,221630,77368,1695,0,0,17,42,2,152,2,34,0,1,0,0,0,0,0,98,0,0,13,25,1,0
 E6-05,T,F,PRE,Colin,92673,100224,1928,308378,2946,698652,1097,77473,0,0,1951,176898,0,0,25716,301140,6835,4089,2,32,41,2,129,4,47,2,2,11,0,0,0,2,65,0,0,6,67,2,3
 E6-06,T,M,PRE,Colin,34215,80726,1738,405841,3823,622665,0,13048,0,0,122641,271483,0,0,63631,158216,5521,16452,0,12,29,2,129,1,30,0,102,3,33,0,0,8,84,0,0,9,42,1,3
 E7-01,C,M,PRE,Colin,19854,94104,3140,684843,61102,273480,0,1017,7159,7139,108498,226428,0,0,151971,99655,57169,4441,0,14,45,2,186,14,37,0,149,2,6,1,2,11,96,0,0,26,51,2,2
 E7-02,C,M,PRE,Colin,98974,34800,0,44906,0,1345547,0,0,0,0,2012,29179,0,0,45135,179953,0,19494,0,23,7,0,23,0,18,0,0,0,0,0,0,1,9,0,0,4,27,0,8
 E7-03,C,M,PRE,Colin,520,33261,994,125662,722075,15718,136845,22521,113027,360648,213778,40881,0,0,4603,6900,0,2567,0,1,30,1,37,79,5,80,6,5,72,31,105,77,14,0,0,4,2,0,2
 E7-05,C,F,PRE,Colin,14927,12292,2790,220456,70352,197943,0,11529,0,0,0,113117,0,0,0,28711,1124988,2895,2,9,12,1,84,21,21,0,0,2,0,0,0,0,37,0,0,0,16,6,2
 E7-06,C,F,PRE,Colin,62975,106087,8397,225402,134338,428937,1936,27798,0,0,0,151659,0,0,235975,60900,340845,14751,0,19,28,4,95,13,41,1,0,5,0,0,0,0,54,0,0,26,16,15,11
 E7-08,C,F,PRE,Colin,53231,126002,17231,244183,57585,167431,0,8547,0,0,1115,41730,0,0,119624,96749,857989,8583,0,10,27,8,63,17,18,0,0,2,0,0,0,1,21,0,0,7,13,13,4
 E8-03F,C,F,PRE,Colin,75913,359037,0,307576,3616,544370,0,26887,0,0,682,210123,0,0,24945,246729,0,0,0,28,79,0,154,3,58,0,0,5,0,0,0,1,83,0,0,7,90,0,0
 E8-04F,C,F,PRE,Colin,60132,215025,0,252346,0,426272,0,64608,0,0,0,267699,0,0,114728,397661,0,1529,0,19,56,0,127,0,41,0,0,5,0,0,0,0,79,0,0,8,84,0,1
 E8-07Ma,C,M,PRE,Colin,147704,131526,0,101035,4893,842972,0,112677,935,0,0,97538,0,0,53407,206272,19098,1452,0,45,32,0,65,3,39,0,0,9,0,1,0,0,31,0,0,15,66,4,2
 E8-07Mb,C,M,PRE,Colin,36525,59146,11596,366690,2569,779318,1055,29127,0,0,0,305500,0,0,109033,88602,10095,744,1,15,23,5,134,2,29,1,1,1,0,0,0,0,82,0,0,9,29,1,1
 E8-14M,C,M,PRE,Colin,64808,204460,1008,197409,693,398943,0,401795,0,0,0,149652,0,0,20332,242858,116240,969,0,34,58,1,114,1,38,0,0,13,0,0,0,0,58,0,0,4,76,4,2
 E9-01Mb,C,M,PRE,Colin,51534,329799,1713,128158,1976,239928,0,198611,0,0,0,30613,0,0,0,250018,567650,0,6,29,53,1,56,1,40,0,0,12,0,0,0,0,14,0,0,0,68,22,0
 E9-05F,C,F,PRE,Colin,174801,195030,0,186397,4577,449896,0,251537,826,0,0,31738,0,0,0,493154,0,12044,1,60,44,0,84,1,46,0,0,11,1,1,0,0,13,0,0,0,83,0,5
 E9-09M,C,M,PRE,Colin,129945,145386,8942,255615,0,814937,0,1368,0,0,0,228821,0,0,69079,143580,0,2327,0,51,62,4,155,0,56,0,7,2,1,0,0,0,69,0,0,13,76,0,2
 E9-11M,C,M,PRE,Colin,145251,280443,0,332576,110291,462146,0,6975,0,0,0,51676,0,0,41935,331664,36603,440,1,54,79,0,128,7,33,0,0,1,1,0,0,0,41,0,0,6,124,3,1
 E9-13M,C,M,PRE,Colin,79192,278403,0,249149,0,698339,817,14387,0,30928,11237,175210,0,0,44862,199380,0,18096,1,37,66,0,157,0,64,1,14,4,1,0,5,6,85,0,0,4,79,0,11
 E10-02F,C,F,REP, Colin,12501,160072,9396,175845,38358,197384,0,81350,1635,0,15676,202450,0,0,525474,288984,90875,0,0,4,62,2,128,4,31,0,1,14,1,1,0,1,74,0,0,43,78,5,0
 E1-01,T,M,GDX, Colin,210003,71715,646,197957,8261,424848,0,297421,964,0,0,111083,1320,0,0,225921,240636,9225,0,79,32,2,150,4,74,0,0,25,0,3,0,0,36,1,0,0,98,14,10
 E10-10F,C,F,REP, Colin,273155,461056,0,70706,3886,121791,0,41499,0,0,0,52534,0,0,67751,664072,43550,0,0,114,81,0,64,3,13,0,0,17,1,0,0,0,21,0,0,13,192,10,0
 E10-13M,C,M,REP, Colin,18006,231296,0,113194,0,198010,0,112434,1392,0,0,103748,0,0,132206,193859,695855,0,0,6,45,0,75,0,27,0,0,18,0,1,0,0,43,0,0,16,68,26,0
 E1-02,T,M,SHAM, Colin,31597,270420,0,235961,0,208495,0,31826,1670,0,151052,305466,0,0,93739,411481,57032,1261,0,21,95,0,225,0,49,0,55,9,3,2,0,29,129,0,0,35,179,4,1
 E1-04,T,M,REP, Colin,71690,195403,0,263648,6111,312106,0,129319,0,0,0,344680,0,0,120093,325671,27427,3852,0,43,66,0,215,3,64,0,0,22,0,0,0,0,109,0,0,28,135,7,3
 E11-01F,C,F,REP, Colin,40285,100924,0,270063,699,596705,0,0,0,0,0,208519,0,2040,325200,152365,103200,0,0,16,27,0,149,1,81,0,0,0,0,0,0,0,69,0,1,26,59,12,0
 E11-03F,C,F,SHAM, Colin,64911,116919,0,134020,18794,187489,0,135077,0,0,0,93746,0,0,15416,239636,792801,1191,0,24,35,0,87,4,35,0,0,11,0,0,0,0,43,0,0,6,75,19,1
 E11-03M,C,M,GDX, Colin,79124,86231,0,246688,59317,362857,0,306687,0,0,0,179420,0,1548,3809,141912,332407,0,1,31,37,0,148,15,60,0,0,36,1,0,0,0,73,0,1,4,75,20,0
 E11-07F,C,F,REP, Colin,85966,213835,0,112720,7394,405516,0,165041,708,0,0,153098,0,0,142672,367291,139827,5932,0,44,54,0,96,2,49,0,2,15,0,1,0,0,50,0,0,27,119,16,4
 E11-11F,C,F,REP, Colin,194435,55049,0,209419,4659,362695,0,114397,0,0,0,242165,0,1042,152449,403897,51252,8541,0,102,31,0,184,1,56,0,0,14,0,0,0,0,77,0,1,9,139,7,9
 E12-01F,T,F,SHAM, Colin,58150,329062,0,290886,19039,230950,2870,160285,0,0,1849,221871,0,0,79238,383853,21947,0,0,31,81,0,199,5,56,1,0,33,1,0,0,1,85,0,0,9,138,7,0
 E12-08M,T,M,REP, Colin,49494,264789,13185,222382,19317,594498,0,0,0,59950,138890,241436,0,0,25191,125853,2640,42375,0,23,74,2,141,4,63,0,47,0,1,0,18,42,53,0,0,10,72,1,9
 E12-10Fa,T,F,REP, Colin,269922,105850,0,254756,77813,431167,0,43114,0,0,0,39259,0,0,2690,429203,145050,1176,0,79,32,0,149,11,80,0,0,7,0,0,0,0,20,0,0,2,114,10,1
 E12-12F,T,F,REP, Colin,95005,159595,0,240649,96438,730963,0,166902,781,0,852,47575,0,0,0,208298,52942,0,0,23,35,0,115,13,88,0,0,21,0,1,0,1,19,0,0,0,57,7,0
 E12-15F,T,F,SHAM, Colin,133032,64822,6727,278911,58666,460739,513,59371,0,0,0,136833,0,2293,130627,286604,178627,2235,0,68,28,1,199,8,84,1,1,22,0,0,0,0,62,0,1,14,120,24,2
 E13-01M,T,M,GDX, Colin,63530,148813,0,79581,513182,436938,58494,85294,94839,17738,120744,108988,0,0,716,70455,0,688,0,12,32,0,51,35,34,12,1,15,40,16,5,26,24,0,0,1,25,0,1
 E13-05F,T,F,REP, Colin,105804,297144,4085,116519,0,214432,0,222005,0,0,0,61121,0,1592,205232,456354,115712,0,0,45,57,2,93,0,21,0,0,10,0,0,0,0,29,0,1,33,129,12,0
 E13-06F,T,F,SHAM, Colin,9513,572452,0,236392,4063,87868,2943,241554,0,0,0,247529,0,0,24106,321977,51603,0,1,10,134,0,174,2,27,2,0,36,1,0,0,0,79,0,0,9,114,9,0
 E13-12Fa,T,F,GDX, Colin,253602,305461,0,125454,0,69066,0,34302,0,0,707,310304,0,1549,76602,584535,35085,3333,0,102,84,0,124,0,19,0,0,3,0,0,0,1,89,0,1,17,182,2,3
 E14-07M,T,M,SHAM, Colin,12694,261568,480,180130,6203,751717,0,77053,0,7775,296377,139009,0,0,600,64810,1584,0,0,6,66,1,126,2,67,0,51,12,1,0,4,64,53,0,0,1,42,1,0
