Subject,Treatment,Sex,Gonad,Scorer,SniffAnoDur,SniffHeadDur,DigDur,ActiveHDur,InactiveDur,GroomDur,AvoidDur,SubDur,DefenseDur,OpenAggDur,RitAggDur,ActiveVDur,ApproachDur,StereoDur,DomDur,SniffBodyDur,InactiveTogetherDur,FollowDur,StretchEv,SniffAnoEv,SniffHeadEv,DigEv,ActiveHEv,InactiveEv,GroomEv,AvoidEv,AttackDelEv,SubEv,AttackRecEv,DefenseEv,OpenAggEv,RitAggEv,ActiveVEv,ApproachEv,StereoEv,DomEv,SniffBodyEv,InactiveTogetherEv,FollowEv
 E38-01F,T,F,PRE,Anthony,48491,55167,21628,408005,120594,474785,0,35965,0,0,0,423813,0,0,72320,138600,0,0,0,27,17,5,151,18,21,0,0,11,0,0,0,0,93,0,0,13,46,0,0
 E38-02F,T,F,PRE,Anthony,14330,46260,751,235310,931522,342090,0,19564,0,0,0,65350,0,0,93641,50865,0,0,0,8,9,1,80,12,14,0,0,4,0,0,0,0,44,0,0,14,18,0,0
 E38-03F,T,F,PRE,Anthony,26103,74013,0,211809,30352,318649,0,13185,0,0,0,69620,0,0,50551,266379,738288,0,0,19,14,0,85,7,25,0,0,3,0,0,0,0,36,0,0,9,58,1,0
 E38-04F,T,F,PRE,Anthony,73375,14577,37467,531094,88860,371040,0,115737,0,0,0,302854,0,0,93035,171567,0,0,0,25,5,6,173,6,33,0,0,12,0,0,0,0,105,0,0,9,62,0,0
 E38-05M,T,M,PRE,Anthony,13362,5808,13427,276760,658457,519662,0,0,0,0,0,101777,0,0,136467,46605,27145,0,0,3,1,4,75,6,27,0,0,0,0,0,0,0,44,0,0,18,12,1,0
 E38-06M,T,M,PRE,Anthony,21579,45528,67609,427259,130621,416716,0,61877,256,22820,5477,126165,0,0,147392,326497,0,0,0,14,17,2,143,11,29,0,1,5,0,1,6,5,72,0,0,15,59,0,0
 E39-01F,T,F,PRE,Anthony,31623,2050,0,111491,994783,472203,0,7096,0,0,0,39755,0,0,78991,61115,0,0,0,14,1,0,43,7,15,0,0,2,0,0,0,0,23,0,0,5,18,0,0
 E39-02F,T,F,PRE,Anthony,26100,6321,0,101941,810072,282337,0,62125,0,0,0,35954,0,0,115030,177864,181008,0,0,4,2,0,23,10,14,0,0,6,0,0,0,0,17,0,0,8,18,1,0
 E39-03F,T,F,PRE,Anthony,79802,28711,0,338345,685165,123829,0,7828,0,0,0,19053,0,0,6403,197270,312568,0,0,35,6,0,78,18,11,0,0,3,0,0,0,0,9,0,0,1,47,1,0
 E39-05M,T,M,PRE,Anthony,44590,52868,0,217312,555056,665307,0,4031,0,0,0,29911,0,0,76843,116152,37102,0,0,16,7,0,59,7,23,0,0,3,0,0,0,0,13,0,0,3,31,1,0
 E39-06M,T,M,PRE,Anthony,119235,26779,0,612760,100106,343470,0,17215,0,94961,9954,181614,0,0,30816,261171,0,927,0,35,13,0,155,9,31,0,2,5,0,0,11,7,61,0,0,12,60,0,1
 E40-01F,T,F,PRE,Anthony,0,0,0,0,1799643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 E41-01F,T,F,PRE,Anthony,23993,118460,0,121837,687147,461718,0,0,0,0,0,72831,0,0,146687,165031,0,0,0,10,8,0,35,14,13,0,0,0,0,0,0,0,10,0,0,8,21,0,0
 E41-02F,T,F,PRE,Anthony,15674,9795,0,577186,640532,296062,0,936,0,0,0,100253,0,0,43497,113392,0,0,0,9,6,0,82,15,21,0,0,1,0,0,0,0,43,0,0,7,19,0,0
 E41-03f,T,F,PRE,Anthony,34470,16888,726,315447,500874,221515,0,13793,0,0,0,98834,0,0,214211,382505,0,0,0,24,8,1,100,14,11,0,0,3,0,0,0,0,34,0,0,15,69,0,0
 E41-04M,T,M,PRE,Anthony,102431,102806,0,441104,359700,326181,0,8568,0,0,0,82660,0,0,112605,263571,0,0,0,28,16,0,98,21,24,0,0,4,0,0,0,0,26,0,0,4,59,0,0
 E41-05M,T,M,PRE,Anthony,23017,39887,0,396624,529637,284489,0,77434,6872,6576,32030,121983,0,0,1272,242763,37247,0,0,12,9,0,87,21,17,0,0,10,0,3,4,10,27,0,0,2,46,1,0
 42-02F,T,F,PRE,Anthony,4799,15932,13132,429827,526730,477116,0,90464,0,0,0,144040,0,0,0,97255,0,0,0,4,4,2,108,11,28,0,0,8,0,0,0,0,62,0,0,0,24,0,0
 42-03M,T,M,PRE,Anthony,50308,46761,1632,198385,790735,182549,0,0,0,0,0,121543,1039,0,324831,81526,0,0,0,21,10,1,66,18,13,0,0,0,0,0,0,0,24,1,0,19,38,0,0
 42-04M,T,M,PRE,Anthony,53349,65800,0,123366,1149376,62699,0,0,0,0,0,39215,0,0,196888,68813,39573,0,0,20,19,0,47,11,6,0,0,0,0,0,0,0,17,0,0,16,23,1,0
 42-05M,T,M,PRE,Anthony,34216,28358,11653,344101,545436,94563,0,72357,0,0,0,108306,0,0,70000,76568,413577,0,0,14,8,2,85,14,12,0,0,4,0,0,0,0,51,0,0,5,20,1,0
 42-06M,T,M,PRE,Anthony,21217,16581,0,178877,571795,429506,0,2159,0,0,0,30786,0,0,236328,102226,209648,0,0,9,2,0,52,11,15,0,0,1,0,0,0,0,10,0,0,11,39,4,0
 E43-01M,T,M,PRE,Anthony,76505,37279,0,375587,258383,719931,0,3672,0,0,0,73847,0,0,115784,138521,0,0,0,17,7,0,71,14,24,0,0,2,0,0,0,0,27,0,0,8,28,0,0
 E43-03M,T,M,PRE,Anthony,117630,108174,37086,368022,423037,285058,0,0,0,0,0,80338,0,0,166586,213931,0,0,0,34,18,5,92,10,18,0,0,0,0,0,0,0,47,0,0,21,45,0,0
 E43-04M,T,M,PRE,Anthony,11212,9132,0,150158,192576,381516,0,34309,27118,102038,49759,4951,0,2672,6358,125804,697310,4748,0,2,2,0,39,17,9,0,2,4,12,10,26,18,5,0,2,2,20,2,1
 E43-05M,T,M,PRE,Anthony,75261,17301,0,214616,698904,350906,0,12330,0,0,0,101068,0,0,230907,96017,0,0,0,18,6,0,65,8,17,0,0,4,0,0,0,0,27,0,0,16,30,0,0
 E43-06F,T,F,PRE,Anthony,37994,88844,0,321919,831893,207802,344,0,0,0,0,5591,0,0,41299,263561,0,0,0,21,13,0,68,19,13,1,0,0,0,0,0,0,5,0,0,5,49,0,0
 E10-02F,C,F,PRE,Colin,37946,348935,0,260999,21545,254988,41821,20612,0,0,15692,540575,0,0,7857,249030,0,0,2,23,63,0,156,5,31,25,0,7,41,0,0,3,140,0,0,3,72,0,0
 E1-01,T,M,PRE,Colin,25207,141874,0,210575,14932,744502,14930,207474,1767,105393,83161,103950,0,0,36289,101723,3303,4920,1,8,27,0,62,6,47,5,3,8,11,1,13,14,30,0,0,7,35,1,1
 E10-10F,C,F,PRE,Colin,45502,189504,0,146588,13064,330146,0,97941,0,0,0,25866,0,0,17598,243817,689974,0,0,31,39,0,69,5,46,0,0,7,0,0,0,0,15,0,0,7,73,3,0
 E10-13M,C,M,PRE,Colin,97035,275698,3594,202330,2629,709091,0,9097,0,0,2650,232428,0,0,61205,202771,0,1472,0,38,80,2,115,1,51,0,1,2,1,0,0,1,63,0,0,13,88,0,1
 E1-02,T,M,PRE,Colin,53293,141524,0,91443,28968,687648,7407,308871,80672,3328,121503,36255,0,0,8,197416,36101,5463,3,12,28,0,36,6,30,3,2,19,66,14,1,15,15,0,0,1,38,3,3
